WKT,nom,id,type
"MULTIPOINT ((5.56022599339485 45.2173568992853))",Gève,27768,Histoire et patrimoine
"MULTIPOINT ((5.55793806910515 44.9746351424163))",Chénevarie,27602,Histoire et patrimoine
"MULTIPOINT ((5.52650674944744 44.8698304824917))",Le Grand Veymont,29137,Sommet
"MULTIPOINT ((5.63723489642143 45.0233105630194))",Panorama sur la vallée de la Gresse,27662,Point de Vue
"MULTIPOINT ((5.59516679495573 44.9904804352951))",Les jeux du Bois Mauret,27644,Histoire et patrimoine
"MULTIPOINT ((5.58837912976742 44.9116052810668))",L'alpage du Serpaton,27583,Agriculture et savoir faire
"MULTIPOINT ((5.51783540849651 45.024331565748))",Zecamp,30939,activités de pleine nature
"MULTIPOINT ((5.60375288128853 44.7575829496158))",Col de Menée,27532,Histoire et patrimoine
"MULTIPOINT ((5.58418784290552 45.0637761504903))",Point de vue des Côtes,29823,Archéologie et préhistoire
"MULTIPOINT ((5.51022720363107 45.0129204368773))",Le Champ de la Bataille,29495,Histoire et patrimoine
"MULTIPOINT ((5.58982301862962 44.9102918671098))",Le parapente,27589,Histoire et patrimoine
"MULTIPOINT ((5.54746098480852 44.9960445458111))",Pas de la Balme,30945,Point de Vue
"MULTIPOINT ((5.59954717755318 44.9804638052829))",Pré du Playnet,27636,Point de Vue
"MULTIPOINT ((5.53519293665886 44.8712602674206))",Les sources de la Gresse,27622,eau
"MULTIPOINT ((5.53649447858334 44.8718381274619))",Baraque du Veymont,27628,Abri
"MULTIPOINT ((5.58582231402397 45.0086880057478))",La Baraque des Clos,27650,Abri
"MULTIPOINT ((5.63294336199761 45.0328951094025))",L'Échaillon,27664,Géologie
"MULTIPOINT ((5.56721650063992 45.0616997452914))",Pont de l'Amour,27685,Histoire et patrimoine
"MULTIPOINT ((5.57591334416429 45.0516348772053))",Entrainement des athlètes,30937,activités de pleine nature
"MULTIPOINT ((5.47381326556206 45.1488135654727))",Vallon de Rencurel,27733,Point de Vue
"MULTIPOINT ((5.48319229304124 45.045126724055))",Belvédère de Château-Julien,33970,Point de Vue
"MULTIPOINT ((5.50314389169216 45.0930651282547))",Le Gros Martel,27755,Sommet
"MULTIPOINT ((5.49991518259048 45.092428900299))",Le Gour Martel,27753,Géologie
"MULTIPOINT ((5.52711724608952 45.1272482487712))",Méaudre,27749,Histoire et patrimoine
"MULTIPOINT ((5.51720252260566 45.0225067227431))",Zone nordique de Corrençon-en-Vercors,33974,activités de pleine nature
"MULTIPOINT ((5.59014467148953 44.9098739269301))",Pas du Serpaton,27580,Point de Vue
"MULTIPOINT ((5.61630260199308 45.0911109769866))",Les Lapiaz,28075,Géologie
"MULTIPOINT ((5.5866239592433 45.0529537658014))",Cabane de Roybon,28135,Abri
"MULTIPOINT ((5.51937058568001 45.0251305370321))",Les Murgers,27439,Histoire et patrimoine
"MULTIPOINT ((5.50833664834499 45.0106601451887))",le Clariant,27441,Histoire et patrimoine
"MULTIPOINT ((5.55146656930447 45.0646097226032))",La colline des Bains,27681,Point de Vue
"MULTIPOINT ((5.5057617276907 45.0042276861155))",le Lautaret,27443,Point de Vue
"MULTIPOINT ((5.46524964272976 45.1638541861381))",Col de Neurre,28329,Point de Vue
"MULTIPOINT ((5.45663824304938 45.1555021384634))",Cascade de la Gerlette,28327,eau
"MULTIPOINT ((5.44516817087172 45.1524299105252))",Site d'escalade de Malleval-en-Vercors,28331,activités de pleine nature
"MULTIPOINT ((5.51011239766091 45.0086358659582))",Lapiaz,27451,Géologie
"MULTIPOINT ((5.52099365741014 44.8536023258821))",Cabane des Aiguillettes,28764,Abri
"MULTIPOINT ((5.57270966470242 44.8114051542085))",Chichilianne,28689,Histoire et patrimoine
"MULTIPOINT ((5.51398202776909 45.0173042382639))",Stade de Biathlon,27449,activités de pleine nature
"MULTIPOINT ((5.63056491315365 45.1713881351753))",Saint-Nizier-du-Moucherotte,27436,Histoire et patrimoine
"MULTIPOINT ((5.56472413125448 45.2381665586109))",Le Pas de la Clé,29071,Histoire et patrimoine
"MULTIPOINT ((5.43843291699886 45.0615178667914))",Gorges de la Bourne,27466,Point de Vue
"MULTIPOINT ((5.59418141841889 45.1845172145313))",Alpage de la Molière,27745,Pastoralisme
