WKT,id,type,nom
"MULTIPOINT ((6.27134 44.87186))",903572,Glacier,Les glaciers
"MULTIPOINT ((6.12965 44.88832))",938340,Flore,Rhapondique scarieux
"MULTIPOINT ((6.12908 44.88899))",938338,Flore,Tozzia Alpina
"MULTIPOINT ((6.1301 44.88917))",938346,Point de vue,Les sommets alentour
"MULTIPOINT ((6.06628 44.9054))",921548,Faune,Pic noir
"MULTIPOINT ((6.0637 44.90489))",921550,Flore,Laisser vieillir les arbres
"MULTIPOINT ((6.06102 44.9042))",921555,Flore,Mélèzes « en crosse »
"MULTIPOINT ((6.0586 44.90365))",921573,Faune,Casse-noix moucheté
"MULTIPOINT ((6.06003 44.89937))",921559,Histoire,La « Combe des Ours »
"MULTIPOINT ((6.06146 44.89973))",921561,Géologie,Ripple marks
"MULTIPOINT ((6.06169 44.89889))",921557,Faune,Tétras lyre
"MULTIPOINT ((6.06037 44.89768))",921567,Histoire,Reboisement des terrains en montagne
"MULTIPOINT ((6.06182 44.89678))",921569,Faune,Chamois
"MULTIPOINT ((6.06402 44.89517))",921565,Flore,Saule de Lagger
"MULTIPOINT ((6.06387 44.89594))",921563,Histoire,Cabane en demi-tonneau de Combe Oursière
"MULTIPOINT ((6.064 44.89528))",921571,Flore,Saule glauque et soyeux
"MULTIPOINT ((6.06421 44.89422))",921575,Point de vue,Point de vue sur le glacier Courbe
"MULTIPOINT ((6.09263 44.87319))",918019,Histoire,Paravalanche
"MULTIPOINT ((6.09069 44.87724))",918021,Flore,Asphodèle
"MULTIPOINT ((6.08941 44.87882))",918023,Flore,Gentiane jaune
"MULTIPOINT ((6.08915 44.88139))",918026,Faune,Alouette des champs
"MULTIPOINT ((6.08829 44.88421))",918028,Faune,Perdrix bartavelle
"MULTIPOINT ((6.08562 44.88889))",918030,Faune,Grand nacré
"MULTIPOINT ((6.08313 44.88987))",918032,Géologie,Nouveau sentier
"MULTIPOINT ((6.08362 44.89326))",918035,Faune,Lézard vivipare
"MULTIPOINT ((6.08173 44.89331))",918037,Flore,Edelweiss
"MULTIPOINT ((6.08063 44.89298))",918039,Point de vue,Paysage du cirque de Valsenestre
"MULTIPOINT ((6.07825 44.89352))",918125,Flore,Saule soyeux
"MULTIPOINT ((6.07827 44.89473))",918127,Pastoralisme,Troupeau de moutons
"MULTIPOINT ((6.07959 44.89596))",904014,Géologie,Orgues de Côte Belle
"MULTIPOINT ((6.08012 44.89661))",918110,Flore,Ancolie des Alpes
"MULTIPOINT ((6.07869 44.89755))",918108,Flore,Pleurosperme d’Autriche
"MULTIPOINT ((6.08055 44.90112))",918113,Flore,Aconit paniculé
"MULTIPOINT ((6.07825 44.90452))",918106,Eau,Barrages en bois
"MULTIPOINT ((5.99453 44.93948))",935856,Flore,Petit historique du sapin et de l'épicéa
"MULTIPOINT ((5.99418 44.93889))",935858,Flore,Sapin ou épicéa
"MULTIPOINT ((5.99491 44.93824))",935860,Faune,Le pic noir
"MULTIPOINT ((5.99371 44.93768))",935862,Savoir-faire,L'exploitation forestière
"MULTIPOINT ((5.99371 44.93737))",935864,Flore,La régénération de la forêt
"MULTIPOINT ((5.99721 44.93418))",935866,Faune,La gélinotte des bois
"MULTIPOINT ((6.00388 44.9295))",935868,Faune,La chrysomèle de l'adénostyle
"MULTIPOINT ((6.00414 44.92393))",935870,Pastoralisme,Le pastoralisme bovin
"MULTIPOINT ((6.00311 44.92391))",935872,Flore,La rhubarbe des moines
"MULTIPOINT ((6.16604 45.10873))",938470,Eau,Cascade de Pont Ferrand
"MULTIPOINT ((6.17505 45.12169))",938473,Pastoralisme,La bergerie des Bruyères
"MULTIPOINT ((6.18005 45.13976))",938475,Faune,La Pierre de l'Oiseau
"MULTIPOINT ((6.15754 45.14185))",938477,Glacier,Le glacier des Quirlies
"MULTIPOINT ((6.16584 45.14324))",938479,Eau,Minéralogie du lac des Quirlies
"MULTIPOINT ((6.16747 45.14433))",938481,Eau,Lac des Quirlies
"MULTIPOINT ((6.16911 45.14386))",938484,Point de vue,Vue depuis le déversoir du lac des Quirlies
"MULTIPOINT ((6.0416 44.91114))",904004,Faune,Bouquetin des Alpes et aigle royal
"MULTIPOINT ((6.03865 44.91256))",904006,Flore,Rhapontique scarieux
"MULTIPOINT ((6.03761 44.91363))",917247,Faune,Vipère aspic
"MULTIPOINT ((6.0338 44.91444))",917252,Flore,Lis orangé
"MULTIPOINT ((6.03364 44.91473))",917243,Faune,Grand apollon
"MULTIPOINT ((6.03344 44.91695))",917250,Flore,Asphodèle blanc
"MULTIPOINT ((6.03303 44.91846))",917921,Pastoralisme,Alpage de Combe Guyon
"MULTIPOINT ((6.03417 44.92221))",917923,Faune,Vautour fauve
"MULTIPOINT ((6.034 44.92247))",917245,Faune,Monticole de roche
"MULTIPOINT ((6.03793 44.93224))",903994,Lac,Lac Labarre
"MULTIPOINT ((5.97775 44.93875))",906167,Faune,Couleuvre d’Esculape
"MULTIPOINT ((5.98253 44.94043))",903972,Géologie,Adret et ubac
"MULTIPOINT ((5.98341 44.94142))",906163,Faune,Chamois
"MULTIPOINT ((5.98581 44.94254))",906159,Flore,Orchis moucheron
"MULTIPOINT ((5.98834 44.94243))",906179,Architecture,La Salce
"MULTIPOINT ((5.99047 44.94417))",906169,Faune,Lézard des murailles
"MULTIPOINT ((5.98943 44.9446))",906157,Flore,Orchidées
"MULTIPOINT ((5.98874 44.94636))",906175,Faune,Orvet fragile
"MULTIPOINT ((5.98847 44.94711))",906161,Flore,Sapinière subnaturelle
"MULTIPOINT ((5.98757 44.94848))",906155,Flore,Orchis militaire
"MULTIPOINT ((5.98663 44.94865))",906171,Faune,Chevreuil d'Europe
"MULTIPOINT ((5.98471 44.94909))",906165,Faune,Circaète Jean-le-Blanc
"MULTIPOINT ((5.98126 44.94683))",906146,Géologie,Verrous glaciaires
"MULTIPOINT ((5.98066 44.94565))",903974,Point de vue,Belvédère et sommet du Touret
"MULTIPOINT ((6.00311 45.0227))",938940,Flore,Mélèze d'Europe
"MULTIPOINT ((5.99725 45.02704))",938944,Flore,Pensées
"MULTIPOINT ((5.99802 45.02926))",938936,Faune,Vautour fauve
"MULTIPOINT ((6.05535 44.90692))",904012,Flore,Prairies naturelles de fauche
"MULTIPOINT ((6.08275 44.91035))",919030,Géologie,Carrière de cipolin
"MULTIPOINT ((6.08249 44.91684))",918960,Pastoralisme,La gestion pastorale
"MULTIPOINT ((6.08569 44.91966))",919032,Géologie,Polis glaciaires
"MULTIPOINT ((6.08646 44.93))",919025,Petit patrimoine,Aménagement du sentier
"MULTIPOINT ((6.08801 44.93119))",919028,Faune,Tichodrome
"MULTIPOINT ((6.08828 44.93193))",919036,Flore,Flore d'altitude
"MULTIPOINT ((6.08802 44.93254))",919034,Géologie,Affrontement géologique
"MULTIPOINT ((5.96635 44.91689))",918132,Flore,Forêt d'ubac
"MULTIPOINT ((5.96661 44.91582))",918135,Flore,Sapin blanc et épicéa
"MULTIPOINT ((5.96634 44.91475))",918137,Flore,Buxbaumie verte
"MULTIPOINT ((5.96611 44.9143))",918146,Faune,Grand ichneumon ou rhysse persuasive
"MULTIPOINT ((5.96527 44.91222))",918143,Faune,Rhagie inquisitrice
"MULTIPOINT ((5.96463 44.91205))",918149,Faune,Fourmi charpentière ou gâte bois
"MULTIPOINT ((5.96536 44.91137))",918141,Faune,Chevêchette d'Europe et chouette de Tengmalm
"MULTIPOINT ((5.96448 44.91048))",918139,Faune,Pic noir
