WKT,name,id,type
"POINT (5.81187 45.3704199999959)",Grand Som,37223,summit
"POINT (5.988781 45.1858579999959)",Col de Roche Noire,37231,pass
"POINT (5.934865 45.137393)",Pointe de Vaudaine,37259,summit
"POINT (6.23009 44.9665399999959)",Col de Burlan,37285,pass
"POINT (6.153735 45.314281)",Col de Morétan,37301,pass
"POINT (5.990988 45.173426)",Col de la Balmette,37311,pass
"POINT (6.28343 44.99003)",Brèche du Râteau,37333,pass
"POINT (6.113077 45.183818)",Côte Belle,37366,summit
"POINT (5.788148 45.2876)",Chamechaude,37370,summit
"POINT (5.930825 45.1309839999959)",Grand Van,37371,summit
"POINT (5.62 45.0901699999959)",Pic Saint Michel,37372,summit
"POINT (6.033071 45.2416799999959)",Cime de la Jasse,37402,summit
"POINT (5.63939 45.14755)",Le Moucherotte,37411,summit
"POINT (5.84104 44.7569399999959)",Tête de Lapras,37418,summit
"POINT (5.69775 45.29824)",Rochers de Chalves - Bannettes,37424,summit
"POINT (5.83749 45.31703)",Roc & Dôme d'Arguille (Pravouta),37425,summit
"POINT (6.050021 45.3035369999959)",Grand Rocher,37430,summit
"POINT (5.873192 45.346948)",Lances de Malissard,37434,summit
"POINT (5.761209 45.235268)",Le Saint Eynard,37435,summit
"POINT (5.72464 44.9918399999959)",Montagne du Conest - La Peyrouse,37440,summit
"POINT (5.58590412139892 45.1791177177389)",Pas de l'Ours,37447,pass
"POINT (5.89035 44.85106)",Le Chauvet,37450,summit
"POINT (5.6055 45.06868)",Rochers de l'Ours,37452,summit
"POINT (5.59821 45.06272)",Plateau du Cornafion,37453,summit
"POINT (5.855406 44.9769109999959)",Le Tabor,37457,summit
"POINT (6.124725 45.2776029999959)",Rocher d'Arguille,37471,summit
"POINT (5.92739 44.96312)",Col de la Baisse,37501,pass
"POINT (5.74361 45.29707)",Mont Fromage - Balme de l'Air,37503,summit
"POINT (6.141366 45.298887)",Pointe de Comberousse,37523,summit
"POINT (5.93406 44.9817099999959)",Grand Armet,37525,summit
"POINT (5.52492 44.95741)",Pas Morta,37542,pass
"POINT (5.90347 44.93758)",Tête de la Grisonnière,37543,summit
"POINT (6.11177 44.9137499999959)",Col du Vallon de Lanchâtra,37550,pass
"POINT (6.128159 45.302873)",Col de la Porte d'Église,37551,pass
"POINT (6.27918 44.98403)",Tête S du Replat,37563,summit
"POINT (5.9932 45.194955)",Pic de la Pierre,37564,summit
"POINT (5.95936 45.171614)",Grande Lance de Domène,37565,summit
"POINT (5.902587 45.1258279999959)",Croix de Chamrousse,37566,summit
"POINT (6.32473 44.96299)",Pic Bourcet,37568,summit
"POINT (6.27422 44.88775)",Col de Clot Châtel,37573,pass
"POINT (6.100229 45.22656)",Pic de l'Agnelin,37584,summit
"POINT (6.107598 45.2414629999959)",Rocher Blanc,37588,summit
"POINT (5.76415 45.32498)",Charmant Som,37612,summit
"POINT (6.090214 45.191291)",Rochers Motas,37621,summit
"POINT (6.132836 45.2996509999959)",Pointe de la Porte d'Église,37623,summit
"POINT (5.998933 45.2029489999959)",Pointe Centrale S du Ferrouillet,37650,summit
"POINT (5.59167 44.90583)",Croix de St Paul,37653,summit
"POINT (5.995237 45.1971049999959)",Sommet Colomb,37656,summit
"POINT (6.054023 45.2369059999959)",Pic de la Belle Étoile,37657,summit
"POINT (5.988199 45.1685309999959)",Croix de Belledonne,37660,summit
"POINT (6.2369 44.89984)",Tête des Fétoules,37664,summit
"POINT (5.998135 45.205576)",Pointe Centrale N du Ferrouillet,37669,summit
"POINT (6.006285 45.207694)",Pointe de la Scia,37672,summit
"POINT (6.02471 45.00624)",Pierre Grosse du Grand Renaud,37674,summit
"POINT (6.055686 45.2341379999959)",Crête des Ilettes,37675,summit
"POINT (6.033621 45.2250689999959)",Pas du Pin,37676,pass
"POINT (5.9134 44.93331)",Le Coiro,37677,summit
"POINT (6.1093 44.9339399999959)",Col Jean Martin,37684,pass
"POINT (6.002186 45.2071079999959)",Brèche N du Ferrouillet,37687,pass
"POINT (6.036859 45.2308599999959)",Col de l'Aigleton,37688,pass
"POINT (5.981265 45.201982)",Le Grand Replomb,37691,summit
"POINT (5.90272 45.36519)",L'Aulp du Seuil,37697,summit
"POINT (6.023918 45.23695)",Dents de Bédina,37704,summit
"POINT (5.915559 45.137162)",Grand Eulier,37707,summit
"POINT (6.073917 45.1838029999959)",Col du Rissiou,37715,pass
"POINT (6.017226 45.231973)",Jas des Lièvres,37720,summit
"POINT (6.125446 45.1836)",Les Aiguillettes de Vaujany,37721,summit
"POINT (5.958955 45.1571069999959)",Grande Lauzière,37723,summit
"POINT (6.063804 45.241847)",Pic des Cabottes,37725,summit
"POINT (6.013462 45.212195)",Pointe du Sciallet,37726,summit
"POINT (5.92421 45.03941)",Le Taillefer,37731,summit
"POINT (6.01506 45.00965)",Crête de Croix de la Garde,37740,summit
"POINT (6.10005 45.2485849999959)",Col du Mouchillon,37745,pass
"POINT (6.19819 44.8668699999959)",Brèche de l'Olan,37757,pass
"POINT (5.85534 45.30807)",Dent de Crolles,37787,summit
"POINT (5.70302 45.33518)",Grande Sure,37790,summit
"POINT (5.82619 45.00527)",Grand Serre,37795,summit
"POINT (5.84407 44.96165)",Piquet de Nantes,37796,summit
"POINT (6.00396 45.0025)",Petit Renaud,37812,summit
"POINT (5.999366 45.1547)",Brèche E du Charnier d'Allemont,37815,pass
"POINT (5.996077 45.155011)",Grand Charnier d'Allemont,37816,summit
"POINT (6.04046 45.2387549999959)",Dent du Pra,37821,summit
"POINT (6.135667 45.137759)",Pic Bayle,37824,summit
"POINT (5.97545 45.170661)",Pic Couttet,37835,summit
"POINT (6.143916 45.154396)",Pic de l'Étendard,37850,summit
"POINT (6.068162 45.183681)",Le Rissiou,37858,summit
"POINT (6.21691 44.9576899999959)",Col du Plat,37862,pass
"POINT (6.15289 44.89935)",Col de la Mariande,37864,pass
"POINT (6.03639 45.2288489999959)",Pic du Pin,37865,summit
"POINT (6.05649 44.81592)",Grun de Saint-Maurice,37871,summit
"POINT (5.82835 44.76747)",Tête de la Cavale de l'Obiou,37873,summit
"POINT (6.0992 44.89502)",Aiguille des Marmes,37876,summit
"POINT (6.03125 44.98001)",Le Rochail,37879,summit
"POINT (6.1475 45.321667)",Col du Pertuis,37881,pass
"POINT (5.805329 45.387794)",Petit Som,37884,summit
"POINT (6.230105 45.1117)",Col des Trente Combes,37887,pass
"POINT (6.23173 45.144437)",Col de Tirequeue,37888,pass
"POINT (6.171955 45.157225)",Col de la Combe de la Valette,37889,pass
"POINT (6.24632 44.99679)",Dôme de la Lauze,37890,summit
"POINT (6.318751 44.976802)",Col du Clôt des Cavales,37892,pass
"POINT (5.58376 45.0148499999959)",Pas de l'Œille,37898,pass
"POINT (5.952708 45.171133)",Pic du Loup,37900,summit
"POINT (5.928588 45.164447)",Grand Colon,37901,summit
"POINT (5.73694 44.91369)",Serre de l'Horizon,37909,summit
"POINT (5.941 45.0438899999959)",Les Rochères,37911,summit
"POINT (5.90468 45.03575)",Croix du Sergent Pinelli,37920,summit
"POINT (6.125704 45.244314)",Col de la Combe Madame,37921,pass
"POINT (5.52663 44.86981)",Le Grand Veymont,37928,summit
"POINT (5.933664 45.1340659999959)",Grand Sorbier,37932,summit
"POINT (5.95933 45.09033)",Grand Galbert,37936,summit
"POINT (6.25817 44.86388)",Les Rouies,37946,summit
