WKT,name,id,main_waypoint_id,activities,route_types,waypoints
"MULTILINESTRING ((6.24735832214355 44.9831274890893,6.25225067138672 44.9867699332721,6.26920223236084 44.9908067051698,6.27525329589844 44.9908067051698,6.27877235412598 44.9903817952002,6.28061771392822 44.9898658288593,6.28448009490967 44.9904424968173,6.28954410552978 44.9889249371034,6.29722595214844 44.9872859274821))",W  >> E Traverse - Since Saint Christophe en Oisans,45269,37333,[skitouring],[traverse],"[37333, 104105, 110531]"
"MULTILINESTRING ((5.88818576318271 45.1400630919106,5.88823796391271 45.1374220449752,5.88818576318271 45.1361644035775,5.88883827230797 45.1354637176559,5.88876649630418 45.1350010852846,5.88831626500776 45.1347450654286,5.88802916099264 45.1342240425638,5.88822491373022 45.1336940365462,5.8896343334408 45.133307760974,5.89063267240246 45.1332089462927,5.89109269133575 45.1332134378691,5.89167016191163 45.1334964071836,5.89282510306334 45.1338602248737,5.89336342309169 45.1341050157886,5.89439112496399 45.1344149345617,5.89472390461788 45.134578877101,5.89525243700935 45.1346350218063,5.89522307409871 45.1348023330279,5.89582011994833 45.1350280347431,5.89598977232089 45.135326724575,5.89638127779606 45.1352868618343,5.89693917309815 45.1353685523805,5.89710556292509 45.1353014594577,5.89763572658937 45.1354298904709,5.89809085170427 45.1352121893763,5.89829639207872 45.135218926741,5.89911202848529 45.1355692697018,5.89956552232736 45.1352930377519,5.90002880380629 45.135198714647,5.9006584751122 45.1354749465969,5.90100838313061 45.135508071973,5.90212784409866 45.1350676167603,5.9026105988968 45.1345517170999,5.90252791375606 45.1341431941882,5.90375463091157 45.1338512417208,5.90404173492669 45.1336805618169,5.90434188912432 45.1336766316875,5.90452459167939 45.1335289711127,5.90494219751956 45.1335660266182,5.90546420481977 45.1331763823637,5.90524235171719 45.1329680855072,5.90594706157248 45.132747156092,5.9076989857934 45.1331160995765,5.90802604029734 45.1329300682523,5.90823564315872 45.1326631885524,5.90909123005413 45.1323109689005,5.9114410628464 45.1316802715106,5.91193696978159 45.1314017937726,5.91205768396977 45.1309436529776,5.91260252908936 45.1305439026762,5.91325177566901 45.1303934348661,5.91453721864577 45.1303552564665,5.91515383976916 45.13041364696,5.91643928274595 45.1307011078509,5.91682426312983 45.1300902534577,5.91809013083287 45.1292772781256,5.91923854689333 45.1290987379629,5.91912109525079 45.1289134604355,5.9201129091212 45.1285586258983,5.92049136441385 45.1284890064638,5.92089592007151 45.1286529490031,5.92293174854235 45.128437353335,5.92422371661039 45.128886510977,5.92737533568542 45.1288460867892,5.92849438883526 45.1290818945513,5.92945847106784 45.1290156437991,5.92977004417515 45.1291919381736,5.93087278459686 45.1295602474401,5.93094129805501 45.1299689808944,5.93091846023563 45.1303777143486,5.93112073806444 45.1310604339646))",Par le Col des Lessines (voie normale),45305,37371,[skitouring],[return_same_way],"[37371, 104256, 104258, 129835, 448717]"
"MULTILINESTRING ((5.603804 45.106707,5.602912 45.101219,5.602875 45.099292,5.60302 45.09704,5.602712 45.094758,5.602805 45.094498,5.602953 45.094405,5.603097 45.094092,5.603253 45.094007,5.603433 45.094037,5.603885 45.093905,5.604112 45.093783,5.605158 45.093575,5.6054 45.093448,5.605792 45.093437,5.606177 45.093653,5.60692 45.094453,5.6073 45.094768,5.607475 45.095087,5.607557 45.095047,5.607643 45.09508,5.607813 45.095245,5.60794 45.095503,5.608203 45.095777,5.608623 45.096053,5.608722 45.096048,5.608665 45.095985,5.608877 45.095213,5.60884 45.09477,5.608925 45.094548,5.609203 45.094147,5.609292 45.093822,5.609572 45.093357,5.609558 45.093148,5.609965 45.09298,5.610138 45.092732,5.61032 45.092682,5.610447 45.092577,5.610413 45.09198,5.61051 45.09187,5.610873 45.091757,5.61134 45.091785,5.611512 45.09163,5.611612 45.091643,5.611733 45.091822,5.611832 45.091812,5.611915 45.091762,5.611998 45.091497,5.612282 45.091465,5.612358 45.09126,5.61287 45.091455,5.612962 45.09144,5.613087 45.091333,5.613667 45.091122,5.614592 45.090967,5.614738 45.090892,5.614892 45.090632,5.615237 45.090702,5.615708 45.09105,5.615807 45.091038,5.616043 45.090745,5.616343 45.09082,5.61642 45.090773,5.616553 45.090307,5.616648 45.090302,5.617083 45.09047,5.617642 45.090843,5.618405 45.09155,5.6186 45.091312,5.618878 45.0915,5.618948 45.091628,5.619047 45.0916,5.619268 45.091383,5.61934 45.090977,5.61956 45.090968,5.619667 45.090817,5.619963 45.090845,5.619897 45.09079,5.620042 45.090553,5.620065 45.090207,5.619862 45.089935))",Versant W,45308,37372,"[snowshoeing, skitouring]",[return_same_way],"[37372, 114387, 145759, 1007420]"
"MULTILINESTRING ((5.98280110700001 45.2409874717959,5.9955944387 45.2252580010959,6.0048496602 45.2226115873959,6.01076602935791 45.2224618278124,6.02128176840001 45.2225184497959,6.02514266967773 45.2252087018144,6.02612972259521 45.2274756230286,6.02634429931641 45.2298935726799,6.02647304534912 45.2325834208007,6.02917671203613 45.2347593845565,6.03234529135683 45.2379725338798,6.03110790252685 45.2396549983869,6.0333122718 45.2414812246959))",Combe S (du Venetier),45338,37402,"[snowshoeing, skitouring, hiking]",[return_same_way],"[37402, 103995, 177203, 1163193]"
"MULTILINESTRING ((5.6304502 45.1686143999959,5.6303644 45.1686357999959,5.6304288 45.1686143999959,5.6304717 45.1684641999959,5.6306005 45.1684212999959,5.6305361 45.1684426999959,5.6305575 45.1682066999959,5.6304932 45.1686572999959,5.6306219 45.1685285999959,5.6306863 45.1679491999959,5.6311798 45.1674341999959,5.6313944 45.1666616999959,5.6313729 45.1658892999959,5.6314588 45.1659106999959,5.631566 45.1658462999959,5.631566 45.1656102999959,5.6317592 45.1652669999959,5.6318021 45.1650309999959,5.631566 45.1645588999959,5.6316519 45.1644730999959,5.6313515 45.1636361999959,5.6308579 45.1629709999959,5.6308365 45.1621770999959,5.6312013 45.1616405999959,5.6311798 45.1608681999959,5.6312442 45.1607393999959,5.6311798 45.1606320999959,5.6313515 45.1603531999959,5.6313944 45.1601385999959,5.6312227 45.1598381999959,5.63133 45.1596664999959,5.6315446 45.1596664999959,5.6316733 45.1595592999959,5.6316948 45.1594304999959,5.6318235 45.1594519999959,5.6319523 45.1593660999959,5.6319523 45.1592587999959,5.6321239 45.1593446999959,5.6321669 45.1592158999959,5.6324244 45.1591729999959,5.6324029 45.1591085999959,5.6325102 45.1591515999959,5.6326175 45.1590013999959,5.632875 45.1590442999959,5.633111 45.1592373999959,5.6332397 45.1597308999959,5.6334543 45.1599454999959,5.6335402 45.1601600999959,5.6336904 45.1602243999959,5.6337762 45.1602029999959,5.6339908 45.1598166999959,5.6342268 45.1598166999959,5.6342697 45.1597308999959,5.6353426 45.1597308999959,5.636158 45.1597952999959,5.6370378 45.1599454999959,5.6372952 45.1599239999959,5.6371021 45.1589154999959,5.6368661 45.1582073999959,5.6369305 45.1580357999959,5.6367803 45.1577138999959,5.6368232 45.1574778999959,5.6362867 45.1564263999959,5.6363726 45.1562332999959,5.6365013 45.1562118999959,5.6362438 45.1560186999959,5.6355357 45.1559328999959,5.6351924 45.1556968999959,5.6351066 45.1557182999959,5.6349349 45.1559757999959,5.6348705 45.1563620999959,5.6347632 45.1563405999959,5.6348062 45.1563620999959,5.6345272 45.1558041999959,5.6346345 45.1547097999959,5.6349564 45.1540016999959,5.635407 45.1533579999959,5.6354284 45.1531862999959,5.6352568 45.1527142999959,5.6348276 45.1521992999959,5.6347203 45.1516198999959,5.6349349 45.1506757999959,5.6354284 45.1496242999959,5.6360507 45.1492595999959,5.6365228 45.1484870999959,5.6368017 45.1481866999959,5.6372952 45.1480578999959,5.6375313 45.1479076999959,5.6376815 45.1479720999959,5.6378317 45.1477574999959,5.6379175 45.147435699996,5.6383467 45.1477574999959,5.6384969 45.1478003999959,5.6385827 45.1477360999959,5.6385827 45.1475214999959,5.6386471 45.1475429999959,5.6391621 45.1481008999959,5.6394196 45.1482510999959,5.6392694 45.1481008999959,5.6391835 45.1474141999959,5.6393766 45.1475643999959,5.6393981 45.1475,5.6394839 45.1475643999959,5.6393981 45.1474785999959,5.6394625 45.1475858999959,5.6394196 45.1476501999959,5.639441 45.1475214999959,5.6393981 45.1475429999959,5.6394196 45.1475,5.6393337 45.1474570999959,5.6393552 45.1475,5.639205 45.1475858999959,5.6392264 45.1478003999959,5.6389689 45.1476716999959,5.6389046 45.1476931999959,5.6387758 45.1475643999959,5.6386685 45.1475429999959,5.6390333 45.1479935999959,5.639205 45.1483368999959,5.6386685 45.1475429999959,5.6385827 45.1475643999959,5.6385612 45.1476931999959,5.6382608 45.1476501999959,5.6382179 45.1477574999959,5.6378102 45.1477574999959,5.6377029 45.1479505999959,5.6373811 45.1481222999959,5.6372952 45.1481008999959,5.6370807 45.1481651999959,5.6368446 45.1482939999959,5.6363082 45.1491093999959,5.635407 45.1497530999959,5.6349993 45.1507186999959,5.6348062 45.1515984999959,5.6348491 45.1519417999959,5.6349993 45.1523279999959,5.6353211 45.1527142999959,5.6354284 45.1531433999959,5.6353855 45.1533150999959,5.6349349 45.1539802999959,5.6349349 45.1540874999959,5.6345272 45.1547955999959,5.6345916 45.1555680999959,5.6345487 45.1560186999959,5.6347418 45.1562761999959,5.6349993 45.1564692999959,5.6350851 45.1563190999959,5.6349993 45.1560186999959,5.6350636 45.1557826999959,5.6352568 45.1558255999959,5.6354499 45.1559757999959,5.6356645 45.1560401999959,5.6363297 45.1561474999959,5.636394 45.1562761999959,5.6363511 45.1566838999959,5.6367159 45.1571988999959,5.6367373 45.1575421999959,5.636909 45.1579927999959,5.6368875 45.1582502999959,5.6372309 45.1597308999959,5.6370378 45.1598596999959,5.6363511 45.1597737999959,5.6356859 45.1597952999959,5.6351066 45.1597094999959,5.6346989 45.1597523999959,5.6346345 45.159688,5.6343555 45.1596664999959,5.6343341 45.1597737999959,5.6339693 45.1602243999959,5.6338191 45.1602458999959,5.633626 45.1600741999959,5.6336045 45.1599239999959,5.6334114 45.159666499996,5.633347 45.1591515999959,5.6330252 45.158979899996,5.6330037 45.1591515999959,5.6327677 45.1591085999959,5.6327462 45.1592158999959,5.6325746 45.1591729999959,5.6322527 45.159323199996,5.6321454 45.1593017999959,5.632081 45.1594519999959,5.6318021 45.1595162999959,5.6317163 45.1596450999959,5.6315231 45.1596021999959,5.6312227 45.1597952999959,5.6312656 45.1605033999959,5.6309867 45.161082699996,5.631094 45.1614260999959,5.6308794 45.1618551999959,5.6308579 45.1621770999959,5.6307292 45.1625632999959,5.6310725 45.1632499999959,5.6321669 45.1645802999959,5.6325102 45.1651381999959,5.6325316 45.165288399996,5.6326175 45.1653313999959,5.6326818 45.1657604999959,5.632875 45.1660608999959,5.6328964 45.1662754999959,5.6334114 45.1676272999959,5.6335187 45.1682710999959,5.6332183 45.1681851999959,5.6332397 45.1681422999959,5.6335187 45.1685714999959,5.6331325 45.1684641999959,5.6327033 45.1681851999959,5.6310296 45.1688074999959,5.6307077 45.1687859999959,5.6306434 45.1686357999959,5.630579 45.1686572999959))",Versant W (voie normale),45348,37411,"[snowshoeing, skitouring]",[return_same_way],"[37411, 107501]"
"MULTILINESTRING ((5.71289062920476 45.2834904550147,5.71303658920474 45.2843265850146,5.71428386920457 45.2856509550146,5.71467905920451 45.2872457850145,5.71604165920432 45.2885363850144,5.71605529920432 45.2892112450144,5.71811108920403 45.2915479250143,5.72041873920371 45.2931487350141,5.72112200920361 45.2939394950141,5.7212546092036 45.2948699150141,5.72077503920366 45.296180735014,5.72174487920353 45.2974117750139,5.72321102920332 45.3013567150137,5.72313677920333 45.3018140050137,5.72141466920357 45.3023240950137,5.72113961920361 45.3022072450137,5.7211978692036 45.3017498550138,5.72180263920352 45.3016627850138,5.72166485920354 45.3014589850138,5.71957839920383 45.3004227750138,5.71867174920396 45.2994980950138,5.71720241920416 45.2986156850139,5.71560984920438 45.2984444050139,5.71459729920452 45.2990172850139,5.71371551920464 45.2987394350139,5.71343192920468 45.2988492350139,5.71359073920466 45.2999745850139,5.71303875920474 45.3001853550138,5.71210642920487 45.3001191550138,5.71202643920488 45.3005160150138,5.71080473920505 45.3008197450138,5.71066041920507 45.3005734650138,5.7104078592051 45.3007195050138,5.70992186920517 45.3004045950138,5.70966748920521 45.3005584650138,5.70874804920534 45.3003125850138,5.70870650920534 45.3005670750138,5.70784677920546 45.3003601750138,5.70802136920544 45.2999728450138,5.70783220920546 45.2995199550138,5.70726576920554 45.2993475050139,5.70722144920555 45.2995720450138,5.70661189920563 45.2994581150138,5.70503865920585 45.2997443650139,5.70479076920589 45.2996015850138,5.70390945920601 45.3001284650138,5.7032921392061 45.3000540650139,5.70296957920614 45.3004049350138,5.70203265920627 45.3002934450138,5.70103090920641 45.3008623250138,5.69954345920662 45.3011549050138,5.69904256920669 45.3004035550138,5.6996978292066 45.3017154950138,5.70149004920635 45.3018422050137,5.7046918092059 45.3009719250138,5.70532705920581 45.3004525250138,5.70888405920532 45.3003886550138,5.71087354920504 45.3006447450138,5.7118976992049 45.3005060350138,5.7126146692048 45.2999050450138,5.71267182920479 45.2996567150139,5.71235019920483 45.2996308550139,5.71229372920484 45.2994000750139,5.7125689392048 45.2989901950139,5.71322229920471 45.2986878150139,5.71276210920478 45.2990124950139,5.7162205892043 45.2982346750139,5.71582581920435 45.2984782250139,5.71730825920415 45.2985044450139,5.71867898920395 45.2993025350138,5.71874479920394 45.2997981050138,5.71989507920378 45.3006249250138,5.72001090920377 45.3019939250137,5.72023720920374 45.3018287250137,5.72031264920373 45.3020840650137,5.72095840920363 45.3022283650137,5.72153775920356 45.3020253450137,5.72249806920342 45.3021276550137,5.72305373920334 45.3018841350138,5.72325311920332 45.3014107450137,5.72307973920334 45.3000191550138,5.72278107920338 45.2999370150138,5.72205254920348 45.2979128950139,5.72100371920363 45.296648265014,5.72140937920357 45.2943639850141,5.72083176920365 45.2935487350142,5.71807665920404 45.2915494150142,5.7168734492042 45.2902411350144,5.71595787920433 45.2890947950144,5.71610052920431 45.2886150650144,5.71481272920449 45.2874475350145,5.71434457920456 45.2857350650145,5.71319301920472 45.2846323950146,5.71288351920476 45.2837357550147))",Versant E,45365,37424,[skitouring],[return_same_way],"[37424, 104448]"
"MULTILINESTRING ((6.03411833569999 45.3305894449959,6.0330249767 45.3304681301959,6.0320200631 45.3297584860959,6.0318705822 45.3289529130959,6.0323471884 45.3284417749959,6.0326652871 45.3289040303959,6.03493957570001 45.3275902243959,6.03574025709999 45.3276311798959,6.0370134635 45.3285345109959,6.037955057 45.3287734033959,6.0396661554 45.3281086273959,6.0403917676 45.3270263012959,6.04093378280001 45.3260626507959,6.04023142129999 45.3241497296959,6.040483493 45.3236235051959,6.0428469406 45.3246030802959,6.0438148957 45.3238053581959,6.04390319989999 45.3232170312959,6.04611551389999 45.3233685162959,6.04651445499999 45.3231300784959,6.04450251370001 45.3226342071959,6.0439542131 45.3215942601959,6.04393581019999 45.3194109283959,6.0448901304 45.3184110145959,6.04597726330001 45.3184423532959,6.047223351 45.3189411984959,6.04961291629999 45.3160246692959,6.04951881069999 45.3131909258959,6.05081885170001 45.3116390692959,6.0512181754 45.3071227647959,6.0513655279 45.306464916396,6.04976013799999 45.3034564456959))",Versant NW,45371,37430,"[snowshoeing, skitouring, hiking]",[return_same_way],"[37430, 104282, 145291, 962151]"
"MULTILINESTRING ((5.60548643661308 45.0687375094893,5.6050143678265 45.0699195601008,5.60439209533509 45.070359034222,5.6034050424178 45.0706015012568,5.60228924346772 45.0703741884422,5.60143093658307 45.0704044968696,5.60063700271478 45.0705257304185,5.59939245773207 45.0709045836034,5.59821228576567 45.0718441286637,5.59761147094646 45.0731321895311,5.59688191009447 45.0740716979719,5.59555153442328 45.074692977327,5.59480051589926 45.0752081794748,5.59419970107992 45.0765719274447,5.59359888626076 45.0773901606045,5.59252600265495 45.0777538160258,5.59166769577024 45.0776932069499,5.5904016931154 45.0772386368295,5.58992962432882 45.0772689416169,5.58945755554234 45.0778447295195,5.58857779098556 45.078268990578,5.58806280685474 45.0790720475278,5.58735470367488 45.0796932725192,5.58638910842967 45.0796023619667,5.58503727508641 45.0793599331196,5.58531622482385 45.079784182927,5.58396439148059 45.0805720670699,5.58327774597281 45.0808750965396,5.58278421951417 45.0813750916505,5.58291296554686 45.0819356870259,5.58261255813723 45.0822084071116))",Versant W depuis les Nobles,45393,37452,[skitouring],[return_same_way],"[37452, 110544]"
"MULTILINESTRING ((5.598612 45.062972,5.598232 45.062995,5.598058 45.063257,5.598007 45.063532,5.59764 45.063772,5.597403 45.0638,5.597352 45.06386,5.597398 45.063918,5.597302 45.063967,5.597358 45.064063,5.597163 45.064128,5.597228 45.064247,5.597177 45.064355,5.597263 45.064505,5.597092 45.064772,5.596973 45.064803,5.596928 45.065012,5.596843 45.065078,5.596928 45.065288,5.596832 45.065478,5.59686 45.065563,5.596745 45.06566,5.596755 45.065755,5.596592 45.065848,5.596617 45.065945,5.596525 45.066088,5.59664 45.066188,5.596552 45.066407,5.596602 45.066458,5.596828 45.066623,5.597015 45.06661,5.59701 45.066658,5.597172 45.066715,5.597075 45.066833,5.59751 45.067055,5.597463 45.067247,5.59739 45.06729,5.597455 45.067412,5.597133 45.067517,5.597008 45.067612,5.596948 45.067768,5.597 45.067797,5.596982 45.067923,5.596923 45.06798,5.596988 45.068018,5.596692 45.068237,5.596605 45.068372,5.596662 45.068513,5.596422 45.068817,5.59634 45.069098,5.59611 45.069335,5.596108 45.069407,5.59602 45.069358,5.595933 45.069475,5.595563 45.069622,5.595165 45.06969,5.595017 45.069777,5.59497 45.069975,5.594762 45.070172,5.594752 45.070252,5.593812 45.070963,5.59358 45.07106,5.593042 45.071043,5.592665 45.07111,5.592328 45.071048,5.591805 45.071112,5.591312 45.07142,5.591157 45.071453,5.591197 45.071578,5.590997 45.071778,5.59064 45.071852,5.590278 45.071805,5.589975 45.0719,5.589527 45.071927,5.58925 45.071882,5.588677 45.07152,5.587057 45.07031,5.586585 45.070212,5.586373 45.070303,5.586327 45.070423,5.586172 45.070405,5.586108 45.070452,5.586112 45.07057,5.585862 45.070725,5.585712 45.070948,5.585448 45.071093,5.58517 45.07145,5.585135 45.071628,5.58501 45.07171,5.584962 45.071883,5.584885 45.071865,5.584827 45.071915,5.584838 45.072043,5.583797 45.07204,5.583555 45.072083,5.58315 45.07239,5.582223 45.072668,5.58204 45.072813,5.581873 45.07284,5.581712 45.072983,5.581182 45.07276,5.581057 45.07262,5.580613 45.072672,5.579695 45.07304,5.579228 45.07301,5.579303 45.072977,5.579132 45.072923,5.57906 45.07283,5.578805 45.0721,5.57889 45.071725,5.578693 45.071567))",Combe Chaulange,45394,37453,"[skitouring, hiking]",[return_same_way],"[37453, 110548]"
"MULTILINESTRING ((5.825306 44.9725525999959,5.8266893 44.9722830999959,5.8277594 44.9724986999959,5.8301868 44.9740437999959,5.8356417 44.9754810999959,5.8362728 44.9755917999959,5.8370036 44.9753671999959,5.8382564 44.975717599996,5.8402054 44.9773180999959,5.8411155 44.9784547999959,5.8418855 44.979683,5.8438523 44.9817010999959,5.8451704 44.9820694999959,5.8458751 44.9817639999959,5.8464623 44.9801470999959,5.8491258 44.9779147999959,5.8505091 44.9777351999959,5.85154 44.9781842999959,5.8546579 44.9805983999959,5.8550624 44.9801042999959,5.8550624 44.9774542999959,5.8554868 44.9769007999959))",Versant W (voie normale),45396,37457,"[skitouring, hiking]",[return_same_way],"[37457, 114380, 247285, 953842]"
