WKT,id,landuse,name
"MULTIPOLYGON (((5.8746735 45.1206207,5.8762492 45.1216567,5.8788673 45.126259,5.878225 45.1279415,5.8773276 45.1283425,5.8771481 45.128944,5.8778511 45.1295138,5.8805433 45.1299992,5.8837352 45.1305663,5.8873495 45.1330624,5.8874502 45.1397902,5.8877649 45.1400145,5.8884966 45.1398709,5.8887528 45.1378664,5.8908548 45.133353,5.8906663 45.1321192,5.8919566 45.1308807,5.8936699 45.1306568,5.8981119 45.1305971,5.9018981 45.1304778,5.9039075 45.129851,5.9047959 45.1288959,5.9082649 45.1282244,5.910507 45.1288661,5.9140713 45.1300975,5.9162182 45.1305079,5.9164125 45.1304171,5.9166668 45.1299212,5.9164873 45.1297207,5.9141329 45.1286866,5.910304 45.1265761,5.9079707 45.1239378,5.9069537 45.1224393,5.9056076 45.121405,5.9036931 45.1199908,5.9030948 45.1184499,5.9029752 45.1128771,5.8998641 45.1088871,5.8936646 45.1044207,5.8918399 45.102246,5.8884596 45.1005146,5.8854982 45.0983186,5.8834042 45.0953623,5.8765241 45.0896182,5.8714388 45.0861969,5.8665629 45.0851831,5.8652766 45.085521,5.8644091 45.0866404,5.8636613 45.0884567,5.8631228 45.090632,5.8634818 45.0920258,5.8638707 45.0931028,5.8656057 45.0946232,5.8680586 45.0957847,5.867696 45.0975025,5.8670477 45.0997089,5.8653591 45.1023815,5.8649601 45.1037923,5.8647987 45.1054643,5.8651632 45.1079582,5.866623 45.1099712,5.8679966 45.1117051,5.8698324 45.1127523,5.871571 45.1138386,5.8707388 45.1157319,5.8727351 45.117505,5.8738909 45.1185679,5.8746735 45.1206207),(5.8984692 45.1100531,5.8986266 45.1098679,5.8984517 45.1096005,5.8983176 45.1093866,5.8986324 45.1094812,5.8988423 45.1095264,5.8988481 45.1096746,5.8990696 45.1098186,5.8993028 45.109979,5.8994719 45.1101066,5.8992737 45.1101024,5.8991862 45.1102218,5.8991746 45.1103452,5.8988248 45.1103205,5.8986207 45.1102176,5.8984692 45.1100531),(5.8992737 45.1103904,5.8995069 45.1102341,5.89988 45.1102135,5.9001714 45.1102506,5.9001773 45.1103904,5.9000374 45.1104275,5.8997459 45.1105468,5.8997109 45.1104604,5.8994427 45.1103781,5.8992737 45.1103904),(5.8994581 45.1099298,5.8994314 45.1098313,5.8994561 45.1097138,5.8994771 45.1096077,5.8995333 45.1095029,5.8996601 45.1095924,5.8997743 45.1096318,5.8998936 45.1097679,5.9000154 45.1097196,5.9001651 45.1096246,5.9002133 45.1096999,5.9002235 45.1098449,5.9002641 45.1099165,5.9002209 45.1100903,5.9000814 45.110015,5.9000516 45.1099369,5.8998791 45.1099464,5.8998574 45.1099167,5.8997845 45.1099039,5.8996697 45.1099457,5.8995504 45.1099727,5.8995095 45.1099647,5.8994581 45.1099298),(5.8886977 45.1063616,5.888381 45.1061575,5.8880849 45.1059146,5.8882295 45.1057736,5.8880643 45.1056619,5.8877544 45.1056959,5.8877476 45.1055355,5.8880229 45.1054724,5.8886426 45.1056133,5.8886977 45.1053023,5.8892898 45.1057736,5.8897166 45.1059486,5.889393 45.1063422,5.8886977 45.1063616),(5.8904783 45.1067006,5.8902101 45.1065936,5.8902043 45.1063879,5.8905774 45.1061945,5.8909388 45.1060793,5.8913294 45.1060587,5.8911662 45.106211,5.8915276 45.1063385,5.8912594 45.1064661,5.8908047 45.1065162,5.8904783 45.1067006),(5.891959 45.1064167,5.8918016 45.1062233,5.8918657 45.1061163,5.8921689 45.1059188,5.8924778 45.1057954,5.8924429 45.1056267,5.8929967 45.1056514,5.8927285 45.1059435,5.8922971 45.1061616,5.8922913 45.1063221,5.8923787 45.1063879,5.8921397 45.1065031,5.891959 45.1064167)))",relation/8763133,winter_sports,Chamrousse
"MULTIPOLYGON (((6.120007 45.0060767,6.1195216 45.0061184,6.1190493 45.0062512,6.1181374 45.0064219,6.1171531 45.0058764,6.1111708 45.0061067,6.1055915 45.0068393,6.103838 45.0072901,6.1033578 45.0077642,6.1032288 45.0082569,6.1034748 45.0091796,6.1040031 45.0099905,6.1045553 45.010474,6.1060697 45.011601,6.1068423 45.0123809,6.1075134 45.0137677,6.1079029 45.015179,6.1084609 45.0180525,6.1082616 45.0210667,6.1082616 45.0229259,6.1086203 45.0239118,6.109194 45.0244112,6.1099354 45.0247568,6.1113249 45.0247954,6.1123533 45.0244842,6.113283 45.0237709,6.1145924 45.0214183,6.1149967 45.0195455,6.1152235 45.0190839,6.1158807 45.0187422,6.1168697 45.0188131,6.1176269 45.0195455,6.1180255 45.0203906,6.118703 45.0224752,6.1193406 45.0245596,6.121652 45.0254046,6.1223295 45.0265595,6.1232461 45.028165,6.1238439 45.0303901,6.1248801 45.032953,6.1257568 45.0340514,6.1280436 45.0343129,6.129224 45.0337416,6.1299015 45.0323616,6.1288653 45.0301084,6.1269125 45.028672,6.1271517 45.0267285,6.1284269 45.0259117,6.1317347 45.025461,6.1338867 45.0252075,6.1364771 45.0245878,6.1390277 45.0232639,6.1404624 45.0217428,6.1415782 45.0185032,6.1421943 45.0152792,6.1427843 45.0131859,6.1449087 45.0129204,6.1458206 45.0130342,6.1471446 45.0121136,6.1491502 45.0122771,6.1541716 45.0175454,6.1563236 45.0190948,6.1593346 45.0200789,6.1600299 45.0203061,6.1654897 45.0201089,6.1699532 45.0186441,6.1743768 45.0173482,6.1768476 45.0158269,6.1793583 45.0128406,6.1803546 45.0112065,6.1816698 45.0097132,6.1842203 45.0089525,6.1903177 45.0070084,6.1912506 45.0065911,6.191872 45.0057686,6.1921125 45.0047013,6.1930654 45.003483,6.1950222 45.0029579,6.1966951 45.0028556,6.198089 45.0031199,6.1996432 45.0046979,6.2020344 45.0067266,6.2052624 45.0092343,6.2070558 45.0109811,6.2090085 45.0116855,6.210762 45.010968,6.2109613 45.0094597,6.209965 45.0073183,6.2092476 45.0051205,6.2095665 45.0039652,6.2119177 45.0035707,6.2156639 45.003768,6.2203266 45.0029226,6.2252683 45.0021336,6.2286558 45.0021336,6.2316084 45.0019519,6.2362218 45.0004953,6.2377453 44.9999036,6.2380019 44.9990612,6.2372732 44.9977035,6.2322092 44.9966717,6.2287688 44.9964978,6.2269707 44.9955782,6.2244485 44.9936015,6.2223192 44.9927775,6.2173238 44.9921786,6.212117 44.9922702,6.2057519 44.9931361,6.2033486 44.994608,6.1994648 44.9949874,6.1955595 44.9943349,6.1917508 44.9929388,6.1889505 44.9917096,6.1871266 44.9904577,6.1863059 44.9905601,6.1854583 44.991353,6.1841691 44.991587,6.1830456 44.9915318,6.1821878 44.9910865,6.1816415 44.9907607,6.1812712 44.9903537,6.1809807 44.9895574,6.1809524 44.9888035,6.1813509 44.9855903,6.1810321 44.9846601,6.1799365 44.9839528,6.1784019 44.9835326,6.1765687 44.9838708,6.1740978 44.9860976,6.1725037 44.9888599,6.1715074 44.9899027,6.1701126 44.9904664,6.1684388 44.9906073,6.1646926 44.9901,6.1623859 44.9901162,6.1612057 44.9908143,6.1590814 44.9912544,6.1582231 44.9908902,6.1557555 44.9907536,6.1535454 44.9916793,6.1505198 44.9920131,6.1482024 44.992438,6.1464858 44.9924532,6.1438465 44.9916945,6.1416144 44.9915718,6.138666 44.9922737,6.1370659 44.9933637,6.1357784 44.9946991,6.1335683 44.9958523,6.1323666 44.9968993,6.1315298 44.998538,6.1305055 44.999738,6.1289052 45.0006401,6.1266294 45.002005,6.1258506 45.0017299,6.1257175 45.0018362,6.1256351 45.0021131,6.1256417 45.0021938,6.1256079 45.0022943,6.1254828 45.0023793,6.1254212 45.0025204,6.1259545 45.0037663,6.1243769 45.0042525,6.1242778 45.0044924,6.1251571 45.0054362,6.125146 45.0057908,6.1243937 45.0058477,6.1242599 45.006113,6.1241551 45.0062085,6.1241296 45.0063081,6.1245984 45.0062726,6.1246852 45.0063472,6.1248434 45.0065547,6.1249232 45.0065227,6.1254225 45.0064893,6.1253583 45.0075033,6.1256372 45.0088178,6.1258215 45.0095742,6.1260875 45.0096976,6.1262749 45.0108091,6.12668 45.0126569,6.1270278 45.0127569,6.1271623 45.0140223,6.1266076 45.0141442,6.126669 45.0151023,6.1271783 45.01547,6.1298402 45.0153874,6.1304479 45.0163722,6.1306781 45.017451,6.1312205 45.0182691,6.1311357 45.019166,6.1306418 45.0198274,6.1300404 45.0205713,6.1294112 45.020955,6.1282798 45.0217652,6.1280035 45.0224955,6.1277688 45.0228735,6.1263116 45.0237222,6.1244315 45.023786,6.1238914 45.023294,6.1235461 45.0223927,6.122559 45.0212266,6.122384 45.0212323,6.1220372 45.0205977,6.1223024 45.0198622,6.1232108 45.0189565,6.1238752 45.0185051,6.1240665 45.0181561,6.1236662 45.0179866,6.1240316 45.0174216,6.1225332 45.0152322,6.1207478 45.0131812,6.1187392 45.0104765,6.1182929 45.008538,6.1190262 45.0073208,6.1196288 45.0066855,6.1202726 45.0064313,6.1207151 45.0063062,6.1206481 45.0061109,6.120007 45.0060767)))",way/45146739,winter_sports,Les Deux Alpes
"MULTIPOLYGON (((6.2485378 45.0000452,6.2498207 45.0008449,6.2539666 45.0032077,6.2567687 45.0049688,6.2583877 45.0074343,6.25845 45.0097676,6.2580141 45.0134654,6.2582009 45.0165468,6.2587613 45.0190118,6.2608162 45.0230612,6.2726114 45.0306634,6.2793958 45.0337637,6.2858742 45.0350434,6.289241 45.0356202,6.2930923 45.0370261,6.2969947 45.0399278,6.2999278 45.0429194,6.3020192 45.0442891,6.3040394 45.0444735,6.3041725 45.0445053,6.3049014 45.0445954,6.3066435 45.0441797,6.3089475 45.0427718,6.3103174 45.0381518,6.3114383 45.030627,6.3111892 45.0264021,6.3075153 45.0216488,6.2994825 45.0175993,6.284787 45.0135935,6.2808017 45.0130213,6.2773146 45.0112164,6.2722764 45.0055592,6.2674138 45.0008261,6.2607049 44.9985439,6.2559799 44.9976274,6.2507968 44.9943533,6.2485643 44.9949122,6.2476121 44.9959826,6.2473254 44.9969273,6.2475525 44.9980808,6.2479235 44.9991089,6.2485378 45.0000452)))",way/45146740,winter_sports,La Grave
"MULTIPOLYGON (((6.1015452 45.1718221,6.1075925 45.1719825,6.1134231 45.1710572,6.1183109 45.1697789,6.1208176 45.1673531,6.1210613 45.1643037,6.1200652 45.1614703,6.1179365 45.1587972,6.1115687 45.1551476,6.1037719 45.1482573,6.1008719 45.1429272,6.1000936 45.1394271,6.1057367 45.13476,6.1145906 45.1297493,6.1299517 45.1283863,6.1372248 45.125434,6.1404659 45.1205043,6.1401546 45.1146272,6.1359514 45.1089693,6.1333244 45.098421,6.1335676 45.0930122,6.1372162 45.0849409,6.1374595 45.0823647,6.1341757 45.0781567,6.1296818 45.0748014,6.1227435 45.0720588,6.1043825 45.0675645,6.1030929 45.0672488,6.0921711 45.0617731,6.0827468 45.0536976,6.0779873 45.0474031,6.0749468 45.0459423,6.0722465 45.0457549,6.0687843 45.0465322,6.0665551 45.0483483,6.0628505 45.055417,6.059537 45.0633275,6.0577188 45.0701299,6.0562683 45.0747006,6.0522664 45.0808657,6.0469735 45.0861226,6.0425334 45.089156,6.0372735 45.0911211,6.0345162 45.09228,6.0330117 45.0943982,6.0318619 45.0958937,6.0320585 45.0970783,6.0328504 45.0982177,6.0343898 45.0995519,6.0376445 45.1005872,6.0456648 45.1024157,6.0634988 45.1078304,6.0709088 45.1133236,6.071407 45.1159162,6.0674218 45.1214527,6.0648064 45.1269446,6.0654291 45.1301077,6.0687294 45.1326117,6.0748318 45.1341053,6.076949 45.1354231,6.0820307 45.1410414,6.0822756 45.1427765,6.0814946 45.1443396,6.0742091 45.1497415,6.0724805 45.1523869,6.0723301 45.1539814,6.0734798 45.1555217,6.0779403 45.1587383,6.0861127 45.163733,6.0903243 45.1661609,6.0961105 45.1702659,6.0985195 45.1712069,6.1015452 45.1718221)))",way/45438982,winter_sports,Alpe d'Huez Grand Domaine
"MULTIPOLYGON (((5.9857633 45.2445006,5.9858357 45.2463005,5.9865833 45.2468269,5.9881027 45.2470137,5.9926701 45.2456673,5.9938262 45.2456424,5.9940173 45.2465198,5.9934716 45.2486209,5.9931135 45.2496174,5.9935588 45.2499688,5.9951107 45.2491884,5.9953747 45.2476674,5.9963876 45.2462496,5.9980276 45.2448997,5.9985341 45.2443393,5.9985372 45.2441066,5.9985396 45.2438449,5.9983945 45.2434573,5.9983831 45.243323,5.9983747 45.2432879,5.9983411 45.2432186,5.9982514 45.2431752,5.9967614 45.2430063,5.9937106 45.2437365,5.9935673 45.2437431,5.9929751 45.2437705,5.9929687 45.2436902,5.9929148 45.2430148,5.9948372 45.2412987,5.9955875 45.2406383,5.9980091 45.2400619,5.999254 45.238753,5.9992028 45.237348,5.9984013 45.2347421,5.9972758 45.2340336,5.9951441 45.233253,5.9940186 45.2317518,5.9930977 45.2297582,5.9933023 45.2284731,5.9924156 45.2281127,5.991273 45.2285691,5.9900281 45.2309592,5.9889537 45.2315957,5.9884762 45.2326765,5.9873848 45.2368677,5.9873337 45.2392694,5.9867197 45.2421512,5.9857633 45.2445006)))",way/294826109,winter_sports,Domaine de Beldina
"MULTIPOLYGON (((5.9916988 45.2569385,5.9918036 45.2571436,5.9927924 45.2576274,5.9931904 45.2576614,5.9943291 45.2576759,5.9967422 45.2576939,5.997808 45.25794,5.9990785 45.258144,5.9995048 45.258006,5.9999227 45.2572497,6.0005195 45.2567155,6.0018241 45.2560073,6.0039728 45.255221,6.0058913 45.2545307,6.0068293 45.2535883,6.0078951 45.2526639,6.0092082 45.2519976,6.0104531 45.2518115,6.0125081 45.2526339,6.0142646 45.2539304,6.015211 45.2550649,6.0154071 45.2556111,6.0149808 45.2569736,6.0154373 45.2580932,6.0159498 45.2588911,6.0167517 45.2600031,6.0182048 45.2604317,6.0193563 45.2609325,6.0194347 45.2614502,6.019366 45.261861,6.0192538 45.2625324,6.018464 45.2632326,6.0178973 45.2635806,6.0166914 45.2637334,6.0160144 45.2638573,6.0156935 45.2641865,6.0150966 45.2647116,6.0151348 45.2648967,6.0154206 45.2651797,6.0159575 45.2654477,6.0165624 45.2654084,6.0182387 45.2652961,6.0197088 45.2651984,6.0205103 45.2653544,6.0210166 45.2656075,6.0213207 45.2656874,6.0225359 45.2660064,6.0248632 45.2664902,6.0273835 45.266906,6.0295058 45.2677971,6.0308805 45.2690277,6.0325445 45.270428,6.0330389 45.2712936,6.0331716 45.2723289,6.0335333 45.2729993,6.0349683 45.2733472,6.036765 45.2733726,6.0380553 45.2738224,6.0399606 45.2752565,6.0411423 45.2765717,6.0423843 45.2782009,6.0439158 45.2792276,6.0500898 45.2801779,6.0512112 45.2801101,6.0513077 45.2798046,6.0512474 45.2794652,6.0502103 45.2774712,6.0498848 45.2759268,6.0518624 45.2721082,6.0532732 45.2733048,6.0548316 45.2734414,6.0557696 45.2731054,6.0561106 45.2726493,6.0561618 45.2721453,6.0558548 45.2716052,6.0552409 45.2702011,6.0542604 45.269571,6.0528364 45.2680227,6.0516086 45.2655743,6.0507388 45.2623575,6.050159 45.260677,6.0489482 45.2594526,6.0484707 45.2565836,6.0450089 45.2521058,6.0430989 45.2491524,6.0411778 45.2458445,6.0362776 45.2441817,6.0342653 45.2435453,6.0312298 45.2432571,6.0291492 45.242957,6.027171 45.2421525,6.023658 45.2425247,6.0211341 45.2425727,6.0193265 45.2422365,6.0176502 45.2414356,6.0156771 45.2404474,6.0143298 45.2400631,6.0116013 45.2404114,6.0064341 45.2425127,6.004149 45.2439175,6.0020344 45.2450702,6.0012328 45.2454664,5.9989477 45.2457306,5.9978051 45.246523,5.9964579 45.2476997,5.9951107 45.2491884,5.9935588 45.2499688,5.9927061 45.2507972,5.992362 45.2511491,5.9916867 45.2521084,5.9916023 45.2532204,5.9916747 45.2544004,5.9916988 45.2569385)))",way/294826110,winter_sports,Les 7 Laux
"MULTIPOLYGON (((6.0565409 45.3260051,6.056288 45.3261161,6.0559129 45.3264763,6.0550737 45.3266918,6.0532018 45.3270889,6.0530243 45.3282802,6.0531017 45.3290691,6.0534083 45.3293243,6.0534809 45.3295172,6.0533679 45.3295796,6.0525941 45.3294954,6.0516616 45.3303701,6.0515163 45.3320378,6.0515809 45.3331268,6.0519198 45.3334899,6.052775 45.3335239,6.0535335 45.332571,6.0579228 45.3280671,6.058478 45.3274933,6.0585094 45.3272354,6.0584178 45.3270682,6.0580373 45.3265189,6.0572341 45.3261144,6.0565409 45.3260051)))",way/294837783,winter_sports,Stade des Neiges du Barioz
"MULTIPOLYGON (((6.0305707 45.3070039,6.0293264 45.3073812,6.0295318 45.3079911,6.0327953 45.3098208,6.0348036 45.310848,6.0371314 45.3126937,6.0383866 45.3152454,6.0400297 45.3171872,6.0408741 45.3183105,6.0415816 45.3195462,6.0416272 45.3209904,6.0420152 45.3224025,6.0429809 45.3238215,6.0449658 45.3244228,6.0462729 45.3248086,6.0466279 45.3255801,6.0471329 45.3273185,6.048274 45.3284577,6.0510005 45.329322,6.0525941 45.3294954,6.0533679 45.3295796,6.0534809 45.3295172,6.0534083 45.3293243,6.0531017 45.3290691,6.0530243 45.3282802,6.0532018 45.3270889,6.0550737 45.3266918,6.0559129 45.3264763,6.056288 45.3261161,6.0565409 45.3260051,6.0572341 45.3261144,6.0580373 45.3265189,6.0584178 45.3270682,6.0585094 45.3272354,6.058478 45.3274933,6.0594652 45.3285533,6.0594361 45.3288278,6.0599164 45.3290606,6.0604429 45.3293512,6.0600015 45.3295741,6.0613942 45.3306629,6.062785 45.3304931,6.0639994 45.3312365,6.06717 45.3315135,6.0693107 45.3321015,6.0709338 45.3325473,6.0720435 45.3328521,6.0744964 45.3329202,6.0757228 45.3312185,6.0735604 45.3271343,6.069042 45.3223463,6.0628491 45.3205778,6.0577552 45.3219096,6.0578104 45.3230789,6.0567644 45.3229733,6.0563359 45.3211337,6.0529028 45.3190163,6.0515129 45.319358,6.0505256 45.3193094,6.0482571 45.3186246,6.0454011 45.3180061,6.0431255 45.3180799,6.0408662 45.3159239,6.0399626 45.3128826,6.0382197 45.3107945,6.0339272 45.308729,6.0305707 45.3070039)))",way/294837800,winter_sports,Domaine du Barioz
"MULTIPOLYGON (((5.9113353 45.3598412,5.9125281 45.3592368,5.9130788 45.3587909,5.9139049 45.3586563,5.9154255 45.3587489,5.9166501 45.3587379,5.9175221 45.3582501,5.9186058 45.3577861,5.9189021 45.3578872,5.9191645 45.3582085,5.9189783 45.3587498,5.9194439 45.3595053,5.919791 45.3598563,5.9200111 45.3599098,5.9201804 45.35919,5.9202905 45.3584405,5.9210101 45.3574351,5.9216366 45.3574827,5.9224578 45.3576017,5.9227626 45.357334,5.9227287 45.3569057,5.9224239 45.3558586,5.9214984 45.3546327,5.9202831 45.3531519,5.9194271 45.3517679,5.919014 45.3503543,5.918607 45.3496349,5.9182119 45.3496307,5.9180622 45.3497485,5.9179844 45.3500556,5.9182045 45.3509038,5.9182553 45.3518617,5.9185461 45.3524364,5.9184384 45.3527603,5.9188215 45.352958,5.9194304 45.3530915,5.9200399 45.3535615,5.9199189 45.3546647,5.9185421 45.3549886,5.9178117 45.3547825,5.9162433 45.3543955,5.915202 45.353756,5.9140646 45.3530913,5.9129288 45.3521384,5.9133234 45.3502615,5.9110119 45.3477709,5.9064186 45.3470767,5.9026789 45.3466265,5.8980574 45.3469631,5.8958066 45.3468116,5.894298 45.3444723,5.892981 45.3409043,5.8876651 45.333414,5.8837381 45.3329595,5.8830436 45.3333467,5.8834747 45.334727,5.8848395 45.3369657,5.8862044 45.3407528,5.8871383 45.3427725,5.8884793 45.3465592,5.8917598 45.3503793,5.8935078 45.3507664,5.8962855 45.3509683,5.8970757 45.3514395,5.9003083 45.3540982,5.9018971 45.3551214,5.9034212 45.3560333,5.9056481 45.3571607,5.9074919 45.3583721,5.9102517 45.3586396,5.9107596 45.3590084,5.9113353 45.3598412)))",way/294937387,winter_sports,Col de Marcieu
"MULTIPOLYGON (((6.1089878 45.3938672,6.1105934 45.3947947,6.1120097 45.3955602,6.1128111 45.3959855,6.1135845 45.3962669,6.115066 45.3966202,6.1168952 45.396298,6.1177459 45.3959984,6.1196435 45.3953137,6.1215674 45.3950824,6.123913 45.3950361,6.1254285 45.3955913,6.1266935 45.396128,6.127023 45.3965444,6.1270757 45.3970256,6.1269571 45.3978213,6.1274974 45.3993203,6.1279849 45.4012911,6.1290937 45.404071,6.130156 45.4057196,6.1308362 45.4058635,6.1313021 45.4059027,6.1320289 45.4058373,6.1323394 45.4053585,6.1327875 45.4043963,6.1340657 45.4036839,6.1347773 45.4028049,6.1350277 45.4018334,6.1355284 45.3989281,6.1356075 45.3970682,6.1365167 45.3958468,6.1370307 45.3956154,6.1384934 45.3953934,6.1399956 45.394579,6.1408654 45.3935056,6.141801 45.3918306,6.1425653 45.3911644,6.1448187 45.3895726,6.1457938 45.3891006,6.1474015 45.3887119,6.1480604 45.3877957,6.148179 45.3872312,6.1488115 45.3864075,6.1484821 45.3860095,6.1476519 45.3855931,6.1469007 45.3855005,6.1459651 45.3855653,6.1449241 45.3857597,6.1441071 45.3860558,6.1434087 45.3864815,6.1428552 45.3869906,6.142394 45.3874163,6.1418273 45.3877124,6.1414584 45.3876477,6.1409708 45.3874533,6.1394422 45.3876199,6.1357459 45.3888415,6.1350409 45.3888045,6.1345599 45.3888785,6.1332092 45.3893505,6.1320232 45.3897947,6.1296051 45.3903916,6.1276152 45.3909885,6.126561 45.3913263,6.1257374 45.3914281,6.1240045 45.3908274,6.1235265 45.3905211,6.1229796 45.3904055,6.1224855 45.3904587,6.1223109 45.390535,6.1220012 45.3908635,6.1215301 45.3912661,6.1202105 45.3918334,6.1197243 45.3919423,6.1181826 45.3920487,6.1166144 45.3925299,6.1150741 45.3931109,6.1141702 45.3932189,6.1121715 45.3933236,6.1113608 45.3933465,6.110443 45.3932614,6.1098128 45.393021,6.1096711 45.3927387,6.1094537 45.3926439,6.1090188 45.3926277,6.10864 45.3929261,6.1083635 45.3931867,6.1082843 45.3934124,6.1084287 45.3936611,6.1086757 45.3937363,6.1089878 45.3938672)))",way/294939838,winter_sports,Le Collet d'Allevard
