WKT,geo_point_
"MULTILINESTRING ((5.36588011124251 45.1137163399844,5.36728123119783 45.1132643236932))","(2:45.1134903318,5.36658067122)"
"MULTILINESTRING ((5.39940749581541 45.1179528555899,5.40061446051174 45.118632359534,5.40114623860208 45.1190955443809,5.40162158833519 45.1194332562207))","(2:45.1186552805,5.40053976082)"
"MULTILINESTRING ((5.34511930665539 45.1249509596029,5.34459327596584 45.1251086353174))","(2:45.1250297975,5.34485629131)"
"MULTILINESTRING ((5.3679130783465 45.1293266026633,5.36774956892854 45.1291279103103))","(2:45.1292272565,5.36783132364)"
"MULTILINESTRING ((5.36443430835097 45.1305559485359,5.36350246937559 45.129233789996))","(2:45.1298948693,5.36396838886)"
"MULTILINESTRING ((5.82276547174488 44.8737193086776,5.82296313622612 44.8739435119023))","(2:44.8738314103,5.82286430399)"
"MULTILINESTRING ((5.80396589714505 44.87998108001,5.80334071247943 44.8799423804226))","(2:44.8799617302,5.80365330481)"
"MULTILINESTRING ((5.77219122005579 45.0525870226198,5.7725418310429 45.0546569900819,5.77326127099555 45.0552424526017))","(2:45.0540288538,5.7725304717)"
"MULTILINESTRING ((5.85737175398479 45.4069143484322,5.85731585977839 45.406925361256,5.85632583906025 45.4071171004368))","(2:45.40701581,5.85684881324)"
"MULTILINESTRING ((5.85095540487753 45.4090156163879,5.84956742441134 45.4089355771412))","(2:45.4089755968,5.85026141464)"
"MULTILINESTRING ((5.85632583906025 45.4071171004368,5.85604514271265 45.4069192094345,5.85588671737861 45.4070680481242,5.85561757534923 45.4075408014675))","(2:45.4071542855,5.85592891768)"
"MULTILINESTRING ((5.84604405156921 45.3818736410948,5.84684658818922 45.3816052906706))","(2:45.3817394659,5.84644531988)"
"MULTILINESTRING ((5.5436908479497 45.2780999143335,5.54369083625822 45.278099932677,5.54383745970901 45.2784686409539))","(2:45.2782842767,5.54376414397)"
"MULTILINESTRING ((5.5700628861653 45.2891714019384,5.56965472827185 45.289784589173))","(2:45.2894779956,5.56985880722)"
"MULTILINESTRING ((5.52825606562202 45.2640964716205,5.52920784577166 45.2651308533036,5.53042991968317 45.2677122479611))","(2:45.2658252523,5.52946038003)"
"MULTILINESTRING ((5.29945829279516 45.0954226865639,5.29563496399284 45.091737753228))","(2:45.0935802199,5.29754662839)"
"MULTILINESTRING ((5.28196641366887 45.10015715188,5.28026934024653 45.1018803717103,5.27992264462748 45.1022448972964,5.27993980870459 45.1023072368187,5.27813347623135 45.1041625431936,5.27772135378777 45.1045623350065))","(2:45.1023626466,5.27984763525)"
"MULTILINESTRING ((5.32503982486264 45.1090624124846,5.32333112863746 45.1063223356449))","(2:45.1076923741,5.32418547675)"
"MULTILINESTRING ((5.29909031335012 45.0955414158351,5.29805319277522 45.0959786362739,5.29734276407272 45.0954740563632))","(2:45.0957453293,5.29819046502)"
"MULTILINESTRING ((5.35720960523172 45.1518522222729,5.35731587508141 45.1518159879171))","(2:45.1518341051,5.35726274016)"
"MULTILINESTRING ((5.33891775585191 45.1368490774917,5.33756371499198 45.1342237172636))","(2:45.1355363974,5.33824073542)"
"MULTILINESTRING ((5.81161244533231 44.8442267957277,5.81189755346387 44.8443589308857))","(2:44.8442928633,5.8117549994)"
"MULTILINESTRING ((5.8006516206003 44.8500802757811,5.80098050378666 44.8504950970933))","(2:44.8502876864,5.80081606219)"
"MULTILINESTRING ((5.81416851281006 44.8545111799471,5.81326285500274 44.8543608761599,5.80722694377126 44.8562043804338))","(2:44.8551751175,5.81068565847)"
"MULTILINESTRING ((5.79217464250733 44.8429053596534,5.79614815549852 44.8385900705652))","(2:44.8407477151,5.794161399)"
"MULTILINESTRING ((5.80361318341587 44.8498055362544,5.80408933528244 44.850252855082))","(2:44.8500291957,5.80385125935)"
"MULTILINESTRING ((5.95603652822683 45.3654638532161,5.95582335061515 45.3650232098084,5.9554930527836 45.364805547599))","(2:45.3650964219,5.95580849055)"
"MULTILINESTRING ((5.97418889251755 44.8445261328439,5.97427436866767 44.8442802913794))","(2:44.8444032121,5.97423163059)"
"MULTILINESTRING ((5.8500864562085 44.8614339952767,5.84758861714611 44.8607508135071))","(2:44.8610924044,5.84883753668)"
"MULTILINESTRING ((5.76988720658929 45.265596711856,5.7701456372357 45.2646183695296))","(2:45.2651075407,5.77001642191)"
"MULTILINESTRING ((5.76988720658929 45.265596711856,5.76918850229471 45.2677784782238))","(2:45.266687595,5.76953785444)"
"MULTILINESTRING ((5.76788293299355 45.2506354534724,5.76902999199489 45.2523576447202))","(2:45.2514965491,5.76845646249)"
"MULTILINESTRING ((5.76940920291369 45.2654270886528,5.76876585844797 45.2657484768859))","(2:45.2655877828,5.76908753068)"
"MULTILINESTRING ((5.75761840851766 45.2772405802228,5.76123712207497 45.2748020709667))","(2:45.2760213256,5.7594277653)"
"MULTILINESTRING ((5.66010716851134 45.2313771143357,5.65462430519474 45.2287755389658))","(2:45.2300763267,5.65736573685)"
"MULTILINESTRING ((5.65173748457735 45.2197382781084,5.65273488953804 45.2196172302468,5.65612404309363 45.2199594742461))","(2:45.2197631612,5.65392990103)"
"MULTILINESTRING ((5.82209076752843 45.0540605322798,5.82469162921966 45.0544962268195))","(2:45.0542783795,5.82339119837)"
"MULTILINESTRING ((5.82469162921966 45.0544962268195,5.8285626973634 45.0587135910823))","(2:45.056604909,5.82662716329)"
"MULTILINESTRING ((5.83284037047451 45.0615041720149,5.83193534876098 45.0602872473855,5.8319342890305 45.0602867585668))","(2:45.0608952416,5.83238751126)"
"MULTILINESTRING ((5.66421527788576 45.1709662587613,5.65834658644577 45.1702769959258))","(2:45.1706216273,5.66128093217)"
"MULTILINESTRING ((5.64872721343567 45.1707367541886,5.64975332720908 45.1707156455023))","(2:45.1707261998,5.64924027032)"
"MULTILINESTRING ((5.64675935064908 44.9439021505314,5.64440951411725 44.9440189868931))","(2:44.9439605687,5.64558443238)"
"MULTILINESTRING ((5.65556230479879 44.9435797683068,5.66179076674131 44.9449809115697))","(2:44.9442803399,5.65867653577)"
"MULTILINESTRING ((5.27923381362099 45.120052308918,5.28021439739252 45.1197752424103))","(2:45.1199137757,5.27972410551)"
"MULTILINESTRING ((5.28038803749121 45.1212116331218,5.28048772889581 45.1204698752421,5.28021439739252 45.1197752424103))","(2:45.1204821254,5.28039452986)"
"MULTILINESTRING ((5.80558401851898 44.9161134851971,5.80562792703567 44.9174090983323))","(2:44.9167612918,5.80560597278)"
"MULTILINESTRING ((5.77494554310547 44.937255133646,5.77480613206264 44.9367819319881))","(2:44.9370185328,5.77487583758)"
"MULTILINESTRING ((5.77633962621422 44.9153275076653,5.77628623370804 44.9155329838401))","(2:44.9154302458,5.77631292996)"
"MULTILINESTRING ((5.77443889239779 44.9357120775978,5.77480613206264 44.9367819319881))","(2:44.9362470048,5.77462251223)"
"MULTILINESTRING ((5.94944107001134 45.3132310391354,5.95093533090463 45.312221145257))","(2:45.3127260922,5.95018820046)"
"MULTILINESTRING ((5.97102870739686 45.3102083314123,5.97111477575275 45.3084639552092))","(2:45.3093361433,5.97107174157)"
"MULTILINESTRING ((5.97102870739686 45.3102083314123,5.97011293468964 45.3097082345262))","(2:45.309958283,5.97057082104)"
"MULTILINESTRING ((5.9729408376332 45.3164886859325,5.97412433727709 45.3169358636125))","(2:45.3167122748,5.97353258746)"
"MULTILINESTRING ((5.94284904075511 45.3176928352317,5.93040299450748 45.3077030986951))","(2:45.312697967,5.93662601763)"
"MULTILINESTRING ((5.92481544722593 45.3223617230676,5.9251140589485 45.3217930408623))","(2:45.322077382,5.92496475309)"
"MULTILINESTRING ((5.93901680276838 45.3301130501465,5.93822667236478 45.3299303309481))","(2:45.3300216905,5.93862173757)"
"MULTILINESTRING ((5.94134395150455 45.3340755932148,5.93962098084103 45.3344980321975))","(2:45.3342868127,5.94048246617)"
"MULTILINESTRING ((5.94134395150455 45.3340755932148,5.94266775784914 45.3362300075634))","(2:45.3351528004,5.94200585468)"
"MULTILINESTRING ((5.93648664056964 45.3299235028642,5.93660613893188 45.3299443235452,5.93684196326637 45.3296092545081,5.93768996295542 45.3299018688247,5.93822667236478 45.3299303309481))","(2:45.3298148906,5.93729790848)"
"MULTILINESTRING ((5.99517930154535 45.2932816363179,5.99539125656019 45.2943797535946,5.99553453555898 45.2948608048388,5.9955507899918 45.2956562845756))","(2:45.2944649681,5.99540694403)"
"MULTILINESTRING ((6.0017285806579 45.3021160262612,6.00133758513977 45.3017368223848))","(2:45.3019264243,6.0015330829)"
"MULTILINESTRING ((6.00350145581091 45.3037792156378,6.0037435020776 45.30453049078))","(2:45.3041548532,6.00362247894)"
"MULTILINESTRING ((5.98696231083503 45.3040631369037,5.98624975809245 45.3041582063811))","(2:45.3041106716,5.98660603446)"
"MULTILINESTRING ((5.98696231083503 45.3040631369037,5.98772317449778 45.3040672324802))","(2:45.3040651847,5.98734274267)"
"MULTILINESTRING ((5.9961664253302 45.2843758810369,5.99683487022226 45.2843548928773))","(2:45.284365387,5.99650064778)"
"MULTILINESTRING ((5.94182604849625 45.340726818706,5.94190875373906 45.3406261353545))","(2:45.340676477,5.94186740112)"
"MULTILINESTRING ((5.95916630134281 45.3577985572426,5.96062431900143 45.3554636155534))","(2:45.3566310864,5.95989531017)"
"MULTILINESTRING ((5.96019088036249 45.3625570446169,5.96098235825005 45.3620597777574,5.96252491350364 45.3615247545252))","(2:45.3619801793,5.96132875974)"
"MULTILINESTRING ((5.6502161394236 44.8988329022535,5.65165050766485 44.8978904269614,5.65708116189681 44.8983540684412))","(2:44.8981795837,5.65354381064)"
"MULTILINESTRING ((5.73585359937663 44.7553861494539,5.73640138796019 44.7554734918903))","(2:44.7554298207,5.73612749367)"
"MULTILINESTRING ((5.75126757773034 44.7430631612997,5.7515241944486 44.7421056937909))","(2:44.7425844275,5.75139588609)"
"MULTILINESTRING ((5.75189036968823 44.741387475565,5.75197626932049 44.741924567145))","(2:44.7416560214,5.7519333195)"
"MULTILINESTRING ((5.76518363078731 44.7393914158897,5.76893353423687 44.740238401664))","(2:44.7398149088,5.76705858251)"
"MULTILINESTRING ((5.92833821244095 44.8919529936185,5.9291128026206 44.8921655399959))","(2:44.8920592668,5.92872550753)"
"MULTILINESTRING ((5.92367508416983 44.8968630313515,5.92209726714313 44.8958154527701,5.92055994510568 44.8949620779583,5.91650916683793 44.8930636757121,5.91508901876651 44.8926493881174))","(2:44.8945453572,5.91948276875)"
