WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.55111048601645 45.1700989150285))",CONSPONC0000000007460393,Construction ponctuelle,Croix,notre-dame des neiges
"MULTIPOINT ((5.75496749895626 45.3111909241719))",CONSPONC0000002206996995,Construction ponctuelle,Croix,oratoire d'orgeval
"MULTIPOINT ((6.17098956548983 44.9601344817711))",CONSPONC0000000007460489,Construction ponctuelle,Croix,vierge du collet
"MULTIPOINT ((5.85217043392495 45.2076865649045))",CONSPONC0000000007460314,Construction ponctuelle,Croix,oratoire de la masse
"MULTIPOINT ((6.02582537045817 45.0240894523344))",CONSPONC0000000338211974,Construction ponctuelle,Croix,croix du carrelet
"MULTIPOINT ((6.11015016725578 45.3185304287426))",CONSPONC0000000351430097,Construction ponctuelle,Croix,croix du léat
"MULTIPOINT ((5.57335750062044 45.135421008474))",CONSPONC0000000338641563,Construction ponctuelle,Croix,croix de jaume
"MULTIPOINT ((5.8616131086743 45.2657480413813))",CONSPONC0000000052530352,Construction ponctuelle,Croix,croix de varvoux
"MULTIPOINT ((6.06523286165376 45.3561773909037))",CONSPONC0000000007460170,Construction ponctuelle,Croix,croix de reculet
"MULTIPOINT ((5.79865165759641 45.2323287013575))",CONSPONC0000000007460295,Construction ponctuelle,Croix,croix saint-bruno
"MULTIPOINT ((6.0361147534514 45.025741058639))",CONSPONC0000000324931597,Construction ponctuelle,Croix,croix du sapey
"MULTIPOINT ((5.92706476663594 45.4177078486992))",CONSPONC0000000246603762,Construction ponctuelle,Croix,croix de l'alpe
"MULTIPOINT ((5.55198153833518 45.1250953953197))",CONSPONC0000000338641062,Construction ponctuelle,Croix,la croix servagnet
"MULTIPOINT ((6.11120810449844 45.0476637695977))",CONSPONC0000000354644713,Construction ponctuelle,Croix,la croix de trévoux
"MULTIPOINT ((5.44835093794368 45.1971804230736))",CONSPONC0000000007460355,Construction ponctuelle,Croix,croix de baboulin
"MULTIPOINT ((5.34459902769685 45.1386882473664))",CONSPONC0000000007460427,Construction ponctuelle,Croix,croix rogny
"MULTIPOINT ((5.98370905507609 45.4379810370289))",CONSPONC0000000007460091,Construction ponctuelle,Croix,croix de mission
"MULTIPOINT ((5.95156132762706 45.3831539872498))",CONSPONC0000000007460152,Construction ponctuelle,Croix,croix blanche
"MULTIPOINT ((5.74557559171006 45.3824162671893))",CONSPONC0000000007460155,Construction ponctuelle,Croix,croix de côte curt
"MULTIPOINT ((6.07226818745033 45.3474129902472))",CONSPONC0000000007460194,Construction ponctuelle,Croix,croix de rochefort
"MULTIPOINT ((5.78515038583353 45.3509030623465))",CONSPONC0000000007460197,Construction ponctuelle,Croix,croix verte
"MULTIPOINT ((5.92161419882671 45.3507898769579))",CONSPONC0000000007460195,Construction ponctuelle,Croix,croix de coquet
"MULTIPOINT ((6.07925070238205 45.264403299157))",CONSPONC0000000007460265,Construction ponctuelle,Croix,croix de chaurionde
"MULTIPOINT ((5.84307658732167 45.2707784309882))",CONSPONC0000000007460270,Construction ponctuelle,Croix,croix de trousset
"MULTIPOINT ((5.469992059662 45.198585639803))",CONSPONC0000000007460351,Construction ponctuelle,Croix,croix rebichon
"MULTIPOINT ((5.46267676277579 45.201266033296))",CONSPONC0000000007460353,Construction ponctuelle,Croix,croix de mazuit
"MULTIPOINT ((5.61320786195876 45.1750160684774))",CONSPONC0000000007460374,Construction ponctuelle,Croix,la madone
"MULTIPOINT ((5.60779543410695 45.1453390121297))",CONSPONC0000000007460404,Construction ponctuelle,Croix,croix de lichou
"MULTIPOINT ((5.61749030258022 45.1324209195024))",CONSPONC0000000007460420,Construction ponctuelle,Croix,croix des ramées
"MULTIPOINT ((5.52968924553191 45.1381416534658))",CONSPONC0000000007460421,Construction ponctuelle,Croix,croix des albans
"MULTIPOINT ((5.57515990519554 45.1216994834703))",CONSPONC0000000007460440,Construction ponctuelle,Croix,croix vercors
"MULTIPOINT ((5.39064769784971 45.115873112387))",CONSPONC0000000007460452,Construction ponctuelle,Croix,croix du faz
"MULTIPOINT ((5.48374935104604 45.0986639488052))",CONSPONC0000000007460466,Construction ponctuelle,Croix,croix du collet
"MULTIPOINT ((5.38892478690311 45.0960723623223))",CONSPONC0000000007460467,Construction ponctuelle,Croix,croix sappey
"MULTIPOINT ((6.13841457022816 45.0528645033342))",CONSPONC0000000007460469,Construction ponctuelle,Croix,oratoire du follet
"MULTIPOINT ((6.10977239319027 45.0452970850321))",CONSPONC0000000007460476,Construction ponctuelle,Croix,croix saint-roch
"MULTIPOINT ((5.56545966486638 45.0579729393132))",CONSPONC0000000007460481,Construction ponctuelle,Croix,croix des clots
"MULTIPOINT ((5.90470261902562 45.0357021588497))",CONSPONC0000000007460483,Construction ponctuelle,Croix,croix du sergent pinelli
"MULTIPOINT ((5.56204572130799 45.0525616747363))",CONSPONC0000000007460484,Construction ponctuelle,Croix,croix des glovettes
"MULTIPOINT ((5.52581504230571 45.0537451712494))",CONSPONC0000000007460485,Construction ponctuelle,Croix,croix du liorin
"MULTIPOINT ((5.55627988954666 45.0101738543393))",CONSPONC0000000007460486,Construction ponctuelle,Croix,croix bressant
"MULTIPOINT ((5.56572322785295 44.9718452493151))",CONSPONC0000000007460490,Construction ponctuelle,Croix,notre-dame du désert
"MULTIPOINT ((5.65539029191278 44.9492696013432))",CONSPONC0000000007460493,Construction ponctuelle,Croix,croix de portier
"MULTIPOINT ((5.54766790878189 44.9468046302393))",CONSPONC0000000007460494,Construction ponctuelle,Croix,croix de garneyre
"MULTIPOINT ((5.79558502863669 44.9161194758663))",CONSPONC0000000007460496,Construction ponctuelle,Croix,croix fayollat
"MULTIPOINT ((5.70493698669722 44.9089783159862))",CONSPONC0000000007460497,Construction ponctuelle,Croix,croix de la repose
"MULTIPOINT ((5.58998819980006 44.9099091532283))",CONSPONC0000000007460498,Construction ponctuelle,Croix,croix de gresse
"MULTIPOINT ((5.85080501900359 44.8852969030814))",CONSPONC0000000007460499,Construction ponctuelle,Croix,croix du prêtre mort
"MULTIPOINT ((5.88634407458531 44.8793441636014))",CONSPONC0000000007460501,Construction ponctuelle,Croix,croix de la roche
"MULTIPOINT ((5.98507302150696 44.8658005980055))",CONSPONC0000000007460503,Construction ponctuelle,Croix,croix de la bonne mère
"MULTIPOINT ((5.63526083191137 44.8511236219365))",CONSPONC0000000007460505,Construction ponctuelle,Croix,croix des sées
"MULTIPOINT ((5.62246474121252 44.8496206099497))",CONSPONC0000000007460506,Construction ponctuelle,Croix,croix de bouland
"MULTIPOINT ((5.94740187028601 44.813429252942))",CONSPONC0000000007460509,Construction ponctuelle,Croix,croix sainte-marguerite
"MULTIPOINT ((5.94249056688912 44.7849312919478))",CONSPONC0000000007460510,Construction ponctuelle,Croix,croix de la plaigni
"MULTIPOINT ((5.94249056688912 44.7849312919478))",CONSPONC0000000007460510,Construction ponctuelle,Croix,croix de la plaigni ou 3 croix
"MULTIPOINT ((5.68065196357864 44.731512560854))",CONSPONC0000000007460514,Construction ponctuelle,Croix,notre-dame du trièves
"MULTIPOINT ((5.90174419685573 45.2347475476801))",CONSPONC0000000007460290,Construction ponctuelle,Croix,croix de revollat
"MULTIPOINT ((5.90174419685573 45.2347475476801))",CONSPONC0000000007460290,Construction ponctuelle,Croix,croix de révollat
"MULTIPOINT ((5.5670294349001 44.8821319304005))",CONSPONC0000000333269235,Construction ponctuelle,Croix,croix cassée
"MULTIPOINT ((5.89727849041327 45.3584389100379))",CONSPONC0000000338525863,Construction ponctuelle,Croix,croix de l'aulp du seuil
"MULTIPOINT ((5.92554951067645 44.7828544780995))",CONSPONC0000000353436445,Construction ponctuelle,Croix,la croisette
"MULTIPOINT ((5.77964697533155 45.4353375404868))",CONSPONC0000000007460093,Construction ponctuelle,Croix,croix de la roche
"MULTIPOINT ((5.78760896253157 44.9094982031752))",CONSPONC0000000018843894,Construction ponctuelle,Calvaire,le calvaire
"MULTIPOINT ((5.58283092784763 44.983831400294))",CONSPONC0000000007460488,Construction ponctuelle,Croix,croix de jacques
"MULTIPOINT ((5.77132021519466 45.2547472231034))",CONSPONC0000000007460284,Construction ponctuelle,Croix,croix de saint-bruno
"MULTIPOINT ((5.5912275234324 44.9060021534061))",CONSPONC0000000007460500,Construction ponctuelle,Croix,croix de saint-paul
"MULTIPOINT ((5.82172645451517 44.9847432581546))",CONSPONC0000000007460487,Construction ponctuelle,Croix,croix de gouret
