WKT,ID,NATURE,TOPONYME
"MULTIPOINT ((5.8507725613178 45.3489140845139))",CONSPONC0000000333797203,Croix,
"MULTIPOINT ((5.94125161170817 45.3749857313735))",CONSPONC0000000338525864,Croix,
"MULTIPOINT ((5.85442800470558 45.4150293311653))",CONSPONC0000002206919139,Croix,
"MULTIPOINT ((6.134339235297 45.073199079909))",CONSPONC0000000348100092,Croix,
"MULTIPOINT ((5.65665644104992 45.318285328623))",CONSPONC0000002200318237,Clocher,
"MULTIPOINT ((5.69640575216554 45.3755533236351))",CONSPONC0000002200318385,Clocher,
"MULTIPOINT ((5.92855481342333 44.8920152434952))",CONSPONC0000000038232637,Croix,
"MULTIPOINT ((5.92854870800141 45.2337993473075))",CONSPONC0000000259245317,Croix,
"MULTIPOINT ((5.81016246697057 45.4252457245944))",CONSPONC0000000325305931,Croix,
"MULTIPOINT ((5.67716159407269 45.2299619108038))",CONSPONC0000002200208313,Croix,
"MULTIPOINT ((5.6758448365783 44.9491223049277))",CONSPONC0000002200208335,Croix,
"MULTIPOINT ((5.55111048601645 45.1700989150285))",CONSPONC0000000007460393,Croix,Notre-Dame des Neiges
"MULTIPOINT ((5.96671301978463 45.2896982415643))",CONSPONC0000002206978631,Croix,
"MULTIPOINT ((5.89589623719797 45.2462955727377))",CONSPONC0000000337521818,Croix,
"MULTIPOINT ((5.80335819099588 45.3237551774425))",CONSPONC0000000334874827,Croix,
"MULTIPOINT ((5.89061620112279 45.2093045143111))",CONSPONC0000000338692324,Croix,
"MULTIPOINT ((5.78588757643728 45.4319759091857))",CONSPONC0000000321763079,Croix,
"MULTIPOINT ((5.96929126825165 45.481374189717))",CONSPONC0000000354084412,Croix,
"MULTIPOINT ((5.71820023854476 45.2537868831046))",CONSPONC0000000007460285,Croix,
"MULTIPOINT ((5.80624860104109 45.3232745615934))",CONSPONC0000002206993868,Croix,
"MULTIPOINT ((5.75496749895626 45.3111909241719))",CONSPONC0000002206996995,Croix,Oratoire d'Orgeval
"MULTIPOINT ((6.17522062984641 45.0869402667095))",CONSPONC0000002207003047,Croix,
"MULTIPOINT ((6.18022973505129 45.0785953444861))",CONSPONC0000002207005474,Croix,
"MULTIPOINT ((6.19213144616316 45.0827100914335))",CONSPONC0000002207003052,Croix,
"MULTIPOINT ((6.1677241475035 45.0725438356749))",CONSPONC0000002207003071,Antenne,
"MULTIPOINT ((6.17081892486303 45.0774903252622))",CONSPONC0000002207005481,Croix,
"MULTIPOINT ((6.17831372440626 45.0838432093193))",CONSPONC0000002207003075,Croix,
"MULTIPOINT ((6.18235258260444 45.080541521685))",CONSPONC0000002207005478,Croix,
"MULTIPOINT ((5.77686949859267 45.265534848337))",CONSPONC0000000007522794,Transformateur,
"MULTIPOINT ((5.82627449588044 45.2481459242575))",CONSPONC0000002207127331,Croix,
"MULTIPOINT ((5.6647390677209 45.3417242850412))",CONSPONC0000000007522602,Transformateur,
"MULTIPOINT ((5.74003807886189 45.3219135104825))",CONSPONC0000002207127571,Croix,
"MULTIPOINT ((5.7105665109539 45.2827896135244))",CONSPONC0000002207127572,Antenne,
