WKT,ID,NATURE,TOPONYME
"MULTIPOINT ((5.45585494379626 45.1079823561772))",PAIHYDRO0000000335661863,Point d'eau,
"MULTIPOINT ((5.58512692912757 45.1304939153509))",PAIHYDRO0000002204779181,Fontaine,
"MULTIPOINT ((5.73218081339638 45.0684988238642))",PAIHYDRO0000000338717197,Fontaine,
"MULTIPOINT ((5.56543041949802 45.1702057494425))",PAIHYDRO0000002204779442,Cascade,
"MULTIPOINT ((5.81704250743531 45.1493419596698))",PAIHYDRO0000002205063324,Fontaine,
"MULTIPOINT ((5.78343398356324 45.1717711655288))",PAIHYDRO0000002205063329,Lavoir,
"MULTIPOINT ((6.18012118286843 45.0822326794442))",PAIHYDRO0000000354644750,Fontaine,Fontaine Saint-Jean
"MULTIPOINT ((5.70691162896915 44.8355210552203))",PAIHYDRO0000000337193994,Fontaine,
"MULTIPOINT ((5.62774310341584 44.9285051369732))",PAIHYDRO0000002205166353,Fontaine,
"MULTIPOINT ((5.64642636610087 45.1222612852208))",PAIHYDRO0000002205495443,Citerne,
"MULTIPOINT ((5.51683230544636 45.0812938045559))",PAIHYDRO0000000336159863,Fontaine,
"MULTIPOINT ((5.53267073457373 45.1124902549809))",PAIHYDRO0000002205554316,Fontaine,
"MULTIPOINT ((5.74354798058941 45.070414993214))",PAIHYDRO0000002205554322,Lavoir,
"MULTIPOINT ((5.73194851270005 45.0701460172595))",PAIHYDRO0000002205554404,Fontaine,
"MULTIPOINT ((5.7731858569305 45.0395895312459))",PAIHYDRO0000000338787721,Source,Source du Maupas
"MULTIPOINT ((6.07923252115266 45.1523134057006))",PAIHYDRO0000000347988639,Source captée,
"MULTIPOINT ((6.05265566311063 45.0608587555111))",PAIHYDRO0000000347988638,Fontaine,
"MULTIPOINT ((6.07113609034945 45.0671735301739))",PAIHYDRO0000000347988642,Source,
"MULTIPOINT ((5.59866848312422 45.2525428497741))",PAIHYDRO0000002206057153,Fontaine,
"MULTIPOINT ((5.27890476323829 45.1115609103518))",PAIHYDRO0000000320272945,Fontaine,
"MULTIPOINT ((5.69479923527531 45.301353047052))",PAIHYDRO0000000007458116,Cascade,Saut de la Roize
"MULTIPOINT ((5.68284391676091 45.3486787946467))",PAIHYDRO0000000007458021,Cascade,la Pisserotte
"MULTIPOINT ((5.93026745483705 45.2532097077409))",PAIHYDRO0000000320271367,Fontaine,
"MULTIPOINT ((5.49561238564382 45.1793562375959))",PAIHYDRO0000000320272892,Cascade,la Cascade des Écouges
"MULTIPOINT ((5.41524414514153 45.1786965437057))",PAIHYDRO0000000335490537,Source,
"MULTIPOINT ((5.50565139861968 45.1767566220589))",PAIHYDRO0000000335490563,Source,
"MULTIPOINT ((5.57636080044847 45.0587068399688))",PAIHYDRO0000000007458546,Cascade,Cascade de la Fauge
"MULTIPOINT ((5.65665931487885 45.108646591457))",PAIHYDRO0000000007458459,Cascade,Cascade d'Allières
"MULTIPOINT ((5.91857138383178 45.3332679408382))",PAIHYDRO0000000333824194,Cascade,Cascade de la Gorge
"MULTIPOINT ((5.93144736147856 45.3722764851967))",PAIHYDRO0000000338525874,Cascade,Cascade de l'Enversin
"MULTIPOINT ((5.99657226777409 44.9419412661508))",PAIHYDRO0000000007458681,Cascade,Cascade de Confolens
"MULTIPOINT ((6.08007197428692 45.2716445790369))",PAIHYDRO0000000007458128,Cascade,Cascade du Pissou
"MULTIPOINT ((6.18606580447722 45.0421809062061))",PAIHYDRO0000000007458519,Cascade,Cascade de la Pisse
"MULTIPOINT ((6.18938442107644 44.9369807775989))",PAIHYDRO0000000007458677,Cascade,Cascade de la Mariande
"MULTIPOINT ((6.20456928824224 44.9302839280503))",PAIHYDRO0000000007458692,Cascade,Cascade de la Lavey
"MULTIPOINT ((6.15586786027427 45.0248811923235))",PAIHYDRO0000000348100136,Cascade,
"MULTIPOINT ((5.91333142866102 45.3370591724173))",PAIHYDRO0000000338028066,Cascade,Cascade du Glésy
"MULTIPOINT ((6.06566698230634 45.1317503361914))",PAIHYDRO0000000347988632,Source,Source Ferrugineuse
"MULTIPOINT ((5.69408860471256 45.2578349362097))",PAIHYDRO0000000320271475,Source captée,
"MULTIPOINT ((5.76708226608966 45.2668713706036))",PAIHYDRO0000000320271412,Fontaine,
"MULTIPOINT ((5.69332758146745 45.2569748483451))",PAIHYDRO0000002207127288,Fontaine,Fontaine Fournache
"MULTIPOINT ((5.77062209266712 45.2501199605025))",PAIHYDRO0000002207127323,Fontaine,
"MULTIPOINT ((5.77862842377749 45.2590238352762))",PAIHYDRO0000002207127324,Fontaine,
"MULTIPOINT ((5.78162168670882 45.2585205031755))",PAIHYDRO0000002207127325,Fontaine,
"MULTIPOINT ((5.7792588764722 45.2582098826594))",PAIHYDRO0000002207127326,Lavoir,
