WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((6.18012118286843 45.0822326794442))",PAIHYDRO0000000354644750,Détail hydrographique,Fontaine,fontaine saint-jean
"MULTIPOINT ((6.18012118286843 45.0822326794442))",PAIHYDRO0000000354644750,Détail hydrographique,Fontaine,fontaine jean blanc
"MULTIPOINT ((5.7731858569305 45.0395895312459))",PAIHYDRO0000000338787721,Détail hydrographique,Source,source du maupas
"MULTIPOINT ((5.69479923527531 45.301353047052))",PAIHYDRO0000000007458116,Détail hydrographique,Cascade,saut de la roize
"MULTIPOINT ((5.68284391676091 45.3486787946467))",PAIHYDRO0000000007458021,Détail hydrographique,Cascade,la pisserotte
"MULTIPOINT ((5.49561238564382 45.1793562375959))",PAIHYDRO0000000320272892,Détail hydrographique,Cascade,la cascade des écouges
"MULTIPOINT ((5.57636080044847 45.0587068399688))",PAIHYDRO0000000007458546,Détail hydrographique,Cascade,cascade de la fauge
"MULTIPOINT ((5.65665931487885 45.108646591457))",PAIHYDRO0000000007458459,Détail hydrographique,Cascade,cascade d'allières
"MULTIPOINT ((5.91857138383178 45.3332679408382))",PAIHYDRO0000000333824194,Détail hydrographique,Cascade,cascade de la gorge
"MULTIPOINT ((5.93144736147856 45.3722764851967))",PAIHYDRO0000000338525874,Détail hydrographique,Cascade,cascade de l'enversin
"MULTIPOINT ((5.99657226777409 44.9419412661508))",PAIHYDRO0000000007458681,Détail hydrographique,Cascade,cascade de confolens
"MULTIPOINT ((6.08007197428692 45.2716445790369))",PAIHYDRO0000000007458128,Détail hydrographique,Cascade,cascade du pissou
"MULTIPOINT ((6.18606580447722 45.0421809062061))",PAIHYDRO0000000007458519,Détail hydrographique,Cascade,cascade de la pisse
"MULTIPOINT ((6.18938442107644 44.9369807775989))",PAIHYDRO0000000007458677,Détail hydrographique,Cascade,cascade de la mariande
"MULTIPOINT ((6.20456928824224 44.9302839280503))",PAIHYDRO0000000007458692,Détail hydrographique,Cascade,cascade de la lavey
"MULTIPOINT ((5.91333142866102 45.3370591724173))",PAIHYDRO0000000338028066,Détail hydrographique,Cascade,cascade du glésy
"MULTIPOINT ((6.06566698230634 45.1317503361914))",PAIHYDRO0000000347988632,Détail hydrographique,Source,source ferrugineuse
"MULTIPOINT ((5.69332758146745 45.2569748483451))",PAIHYDRO0000002207127288,Détail hydrographique,Fontaine,fontaine fournache
