WKT,ID,NATURE,TOPONYME
"MULTIPOINT ((5.92525040080556 45.4644094258008))",PAIOROGR0000000007453721,Sommet,Mont Granier
"MULTIPOINT ((6.04050071738138 45.2387016359141))",PAIOROGR0000000007454587,Sommet,Dent du Pra
"MULTIPOINT ((5.95836772504029 45.1348767867758))",PAIOROGR0000000007455069,Pic,Pic de l'Homme
"MULTIPOINT ((5.47360578235576 45.0650568326925))",PAIOROGR0000000007455623,Sommet,le Sapin du Vercors
"MULTIPOINT ((6.09560747639645 45.007271892186))",PAIOROGR0000000007455840,Sommet,Pied Moutet
"MULTIPOINT ((5.96715465469214 45.0085588921041))",PAIOROGR0000000007455859,Col,Col d'Ornon
"MULTIPOINT ((5.82607098483284 45.0053061523662))",PAIOROGR0000000007455871,Sommet,le Grand Serre
"MULTIPOINT ((5.58711581432295 45.0238128328715))",PAIOROGR0000000007455890,Crête,Arêtes du Gerbier
"MULTIPOINT ((5.56401057410931 45.0049440180171))",PAIOROGR0000000007455997,Sommet,la Grande Moucherolle
"MULTIPOINT ((5.55871669974122 45.0033605781658))",PAIOROGR0000000007455999,Sommet,la Petite Moucherolle
"MULTIPOINT ((5.61381652315031 44.9798671234137))",PAIOROGR0000000007456220,Versant,Chapoteyre
"MULTIPOINT ((5.90519161899131 44.8956634158679))",PAIOROGR0000000007456698,Plaine,la Vie Close
"MULTIPOINT ((5.98873180776521 44.8667508712845))",PAIOROGR0000000007456788,Sommet,le Chamoux
"MULTIPOINT ((5.8279194028367 44.7673690963823))",PAIOROGR0000000007457421,Sommet,Tête de la Cavale
"MULTIPOINT ((5.778607842578 45.002271743123))",PAIOROGR0000002004412578,Plage,Plage de la Bergogne
"MULTIPOINT ((5.96449752673359 45.1714414803255))",PAIOROGR0000000007454899,Col,Col du Lac Blanc
"MULTIPOINT ((5.42587339893804 45.0863065530046))",PAIOROGR0000000007455540,Col,Col de Pra l'Étang
"MULTIPOINT ((5.91562361976619 45.137297374144))",PAIOROGR0000002008250967,Sommet,Grand Eulier
"MULTIPOINT ((5.92428340853297 45.0394277917598))",PAIOROGR0000000007455674,Sommet,le Taillefer
"MULTIPOINT ((5.99154830160961 45.1707402172339))",PAIOROGR0000000007454891,Pic,Grand Pic de Belledonne
"MULTIPOINT ((5.93480281989775 45.1374114679153))",PAIOROGR0000002008956938,Sommet,Pointe de la Vaudaine
"MULTIPOINT ((5.61962065487977 45.2019093254161))",PAIOROGR0000002205871454,Vallée,Combe du Rival
