WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.76706653007541 45.2523163630379))",PAIHABIT0000000202604443,Zone d'habitation,Lieu-dit habité,vieille fontaine
"MULTIPOINT ((5.87109465759006 44.9847717309939))",PAIOROGR0000000007456078,Détail orographique,Sommet,rochers de la freyta
"MULTIPOINT ((6.00065771731708 45.027312700354))",PAIOROGR0000000007455741,Détail orographique,Sommet,la tête de louis xvi
"MULTIPOINT ((5.57395705725106 45.2753834535707))",PAIE_NAT0000000007450320,Lieu-dit non habité,Bois,mattassière
"MULTIPOINT ((5.87601601307775 45.2778918689699))",PAIHABIT0000000342994042,Zone d'habitation,Quartier,hameau de la jasse
"MULTIPOINT ((5.36783190825271 45.1129189341874))",PAIHABIT0000000007546406,Zone d'habitation,Grange,nacon
"MULTIPOINT ((6.12770755033087 45.4281478178527))",PAIHABIT0000000007539799,Zone d'habitation,Lieu-dit habité,la curtanne
"MULTIPOINT ((5.33496828621011 45.1117411367488))",PAIHABIT0000000007546422,Zone d'habitation,Lieu-dit habité,revolet
"MULTIPOINT ((5.36268156597669 45.1292387762168))",PAIHABIT0000000007546214,Zone d'habitation,Lieu-dit habité,le carter
"MULTIPOINT ((5.83557219868108 44.8894705101358))",PAIHABIT0000000007548006,Zone d'habitation,Lieu-dit habité,les miards
"MULTIPOINT ((5.87411021911895 45.3506311570267))",PAIOROGR0000000007454154,Détail orographique,Crête,lance nord
"MULTIPOINT ((5.75392110539284 45.0732744630403))",PAIHABIT0000000007546781,Zone d'habitation,Lieu-dit habité,la vignasse
"MULTIPOINT ((6.04973446337663 45.1482877504823))",PAIHABIT0000000289306588,Zone d'habitation,Lieu-dit habité,le chalet du verney
"MULTIPOINT ((5.9476490654526 45.4810960383111))",PAIE_NAT0000000007448119,Lieu-dit non habité,Lieu-dit non habité,le lac de la puce
"MULTIPOINT ((5.73272024031311 45.1452384164663))",PAIHABIT0000000007545703,Zone d'habitation,Quartier,la commanderie
"MULTIPOINT ((5.65100299201212 44.8478974815916))",PAIE_NAT0000000007452640,Lieu-dit non habité,Lieu-dit non habité,bissonnière
"MULTIPOINT ((5.67230867696431 45.1769210804617))",PAIE_NAT0000000007450818,Lieu-dit non habité,Bois,bois roland
"MULTIPOINT ((5.73566777993874 45.1390658390875))",PAIE_NAT0000000007451044,Lieu-dit non habité,Lieu-dit non habité,pend loup
"MULTIPOINT ((5.79686851272818 45.4312087195806))",PAIOROGR0000000007453830,Détail orographique,Rochers,marmitte de géant
"MULTIPOINT ((5.80187558219693 45.2624132216134))",PAIOROGR0000000007454544,Détail orographique,Col,pas de la branche
"MULTIPOINT ((5.65749208364462 45.3043800389909))",PAIE_NAT0000002011513381,Lieu-dit non habité,Lieu-dit non habité,gerboudière
"MULTIPOINT ((6.27812208226618 44.957713201307))",PAIOROGR0000000007456139,Détail orographique,Vallée,cros d'aréna
"MULTIPOINT ((5.43439769231571 45.106507232667))",PAIOROGR0000000007455372,Détail orographique,Dépression,pot du nid
"MULTIPOINT ((5.85244074987295 44.9042366766817))",PAIE_NAT0000000355028214,Lieu-dit non habité,Lieu-dit non habité,champ du mange
"MULTIPOINT ((5.54289062726195 45.247976442505))",PAIOROGR0000000007454676,Détail orographique,Crête,pierre taillée
"MULTIPOINT ((5.48374604329543 45.0228641683117))",PAIOROGR0000000007455906,Détail orographique,Sommet,la sambue
"MULTIPOINT ((5.89190278119952 44.9054018260136))",PAIHABIT0000000007547941,Zone d'habitation,Grange,l'espinasse
"MULTIPOINT ((5.87787770472546 45.315076559435))",PAIHABIT0000000007542526,Zone d'habitation,Lieu-dit habité,commune de plateau-des-petites-roches
"MULTIPOINT ((5.89236887698745 44.7750694144588))",PAIE_NAT0000000007452967,Lieu-dit non habité,Bois,bois buisson
"MULTIPOINT ((5.93716842443046 45.2766623012257))",PAIHABIT0000000007543562,Zone d'habitation,Quartier,la tour
"MULTIPOINT ((5.8204432078622 45.2329230758175))",PAIHABIT0000002207276709,Zone d'habitation,Lieu-dit habité,le bas jayet
"MULTIPOINT ((5.96267696903884 45.4828240995981))",PAIE_NAT0000000007448117,Lieu-dit non habité,Lieu-dit non habité,les essarts de la palud
"MULTIPOINT ((5.99461869717121 45.3689288415512))",PAIHABIT0000000007541190,Zone d'habitation,Lieu-dit habité,l'arthaudière
"MULTIPOINT ((5.8054101800221 45.1737534780012))",PAIHABIT0000000007545221,Zone d'habitation,Lieu-dit habité,l'adret
"MULTIPOINT ((5.85746968146316 45.2060085412261))",PAIE_NAT0000000007450649,Lieu-dit non habité,Bois,bois de courbamant
"MULTIPOINT ((5.85765539075442 45.2668224040757))",PAIHABIT0000000336340653,Zone d'habitation,Lieu-dit habité,les catières
"MULTIPOINT ((5.74677162761894 45.0894561717885))",PAIHABIT0000000007546551,Zone d'habitation,Quartier,la longagnie
"MULTIPOINT ((5.8604451464051 44.8233463188156))",PAIE_NAT0000000007452755,Lieu-dit non habité,Lieu-dit non habité,revaire et gonne
"MULTIPOINT ((5.672249987968 45.0404310094855))",PAIHABIT0000000007547271,Zone d'habitation,Lieu-dit habité,le crozet
"MULTIPOINT ((6.12032420569832 45.2437103568405))",PAIOROGR0000000007454571,Détail orographique,Col,col de buyant
"MULTIPOINT ((5.90068485124679 44.7753026237729))",PAIHABIT0000000007548453,Zone d'habitation,Lieu-dit habité,la posterle
"MULTIPOINT ((5.32373596681049 45.1132558544039))",PAIHABIT0000000322993100,Zone d'habitation,Quartier,les mayettes
"MULTIPOINT ((5.9352245086719 45.2527200862503))",PAIHABIT0000002005869408,Zone d'habitation,Château,château de la martelière
"MULTIPOINT ((5.70028721754139 45.0076038290954))",PAIHABIT0000000007547550,Zone d'habitation,Lieu-dit habité,les jaillis
"MULTIPOINT ((5.70028721754139 45.0076038290954))",PAIHABIT0000000007547550,Zone d'habitation,Lieu-dit habité,les jaiily
"MULTIPOINT ((5.72145522126868 44.7927528074456))",PAIOROGR0000000007457291,Détail orographique,Versant,champ solet
"MULTIPOINT ((6.08441144523219 45.3551892064825))",PAIHABIT0000000356380047,Zone d'habitation,Lieu-dit habité,la vie plaine
"MULTIPOINT ((5.4658389231262 45.1211709630114))",PAIHABIT0000000007546193,Zone d'habitation,Ruines,moras
"MULTIPOINT ((5.88053658474162 44.7820317691754))",PAIOROGR0000000007457276,Détail orographique,Crête,crête de la samblue
"MULTIPOINT ((6.14231717996659 45.049988050135))",PAIHABIT0000000258357606,Zone d'habitation,Quartier,le dauphin
"MULTIPOINT ((6.14231717996659 45.049988050135))",PAIHABIT0000000258357606,Zone d'habitation,Quartier,res le dauphin
"MULTIPOINT ((5.80091773044906 45.3156874020673))",PAIHABIT0000000007542543,Zone d'habitation,Lieu-dit habité,les égaux
"MULTIPOINT ((5.86901898007825 45.1608798644608))",PAIOROGR0000000007454994,Détail orographique,Sommet,mont rond
"MULTIPOINT ((5.75489963258873 45.0289179419301))",PAIHABIT0000000007547387,Zone d'habitation,Lieu-dit habité,les arnauds
"MULTIPOINT ((5.92554739747135 44.9642364217909))",PAIOROGR0000000007456194,Détail orographique,Sommet,le grand vent
"MULTIPOINT ((5.85060526449601 45.2071634054874))",PAIHABIT0000000359090336,Zone d'habitation,Quartier,lotissement bernard
"MULTIPOINT ((5.89398557772249 45.101535083783))",PAIOROGR0000000007455329,Détail orographique,Sommet,rocher de l'homme
"MULTIPOINT ((5.69412528981791 45.0106901381381))",PAIHABIT0000000007547469,Zone d'habitation,Lieu-dit habité,le gappin
"MULTIPOINT ((5.86350730217634 45.3756589897207))",PAIHABIT0000000007541213,Zone d'habitation,Grange,granges du planey
"MULTIPOINT ((5.98417819485177 44.9701897693554))",PAIE_NAT0000000007451814,Lieu-dit non habité,Lieu-dit non habité,les basses et hautes selles
"MULTIPOINT ((5.52759511776185 44.8070727319919))",PAIE_NAT0000000007452879,Lieu-dit non habité,Lieu-dit non habité,chevalière
"MULTIPOINT ((5.7626515603787 44.9722539606407))",PAIE_NAT0000000007451922,Lieu-dit non habité,Bois,les grandes côtes
"MULTIPOINT ((5.81949193685341 45.2593059249572))",PAIE_NAT0000000007450285,Lieu-dit non habité,Lieu-dit non habité,côte bonne
"MULTIPOINT ((6.2251676131231 44.8758894656075))",PAIOROGR0000000007456656,Détail orographique,Plaine,premier clot
"MULTIPOINT ((6.06489856999881 45.0908516343582))",PAIHABIT0000000206282780,Zone d'habitation,Quartier,la maison de l'alpe
"MULTIPOINT ((5.98897329989416 45.4609379599922))",PAIHABIT0000000007539212,Zone d'habitation,Lieu-dit habité,les girards
"MULTIPOINT ((5.49983133215798 44.8569937236458))",PAIOROGR0000000007457043,Détail orographique,Gouffre,scialet du casque
"MULTIPOINT ((6.03129584352958 45.1050426527686))",PAIOROGR0000000007455234,Détail orographique,Vallée,draye du poisot
"MULTIPOINT ((6.21801139120442 44.8775281096381))",PAIOROGR0000000007456657,Détail orographique,Plaine,clot de l'âne
"MULTIPOINT ((5.53099427804354 45.1225567598181))",PAIHABIT0000000007546179,Zone d'habitation,Lieu-dit habité,la verne
"MULTIPOINT ((5.93847437374852 45.138478009765))",PAIOROGR0000000007455075,Détail orographique,Col,col de la petite vaudaine
"MULTIPOINT ((5.77217097338167 44.8711981064346))",PAIHABIT0000000018066791,Zone d'habitation,Lieu-dit habité,la loubière
"MULTIPOINT ((5.7074387917744 44.9032120935692))",PAIE_NAT0000000007452381,Lieu-dit non habité,Bois,les pallas
"MULTIPOINT ((5.78657218974119 45.1282282339983))",PAIE_NAT0000000013680115,Lieu-dit non habité,Lieu-dit non habité,champ morin rochas
"MULTIPOINT ((5.83731786068181 44.8481641158022))",PAIE_NAT0000000007452618,Lieu-dit non habité,Lieu-dit non habité,vernet
"MULTIPOINT ((6.15265231123089 44.8995172732352))",PAIOROGR0000000007456556,Détail orographique,Col,col de la mariande
"MULTIPOINT ((6.29906815899422 44.9122408152064))",PAIE_NAT0000000007452147,Lieu-dit non habité,Lieu-dit non habité,la jasse
"MULTIPOINT ((5.53088646331516 45.2449003550435))",PAIOROGR0000000007454679,Détail orographique,Rochers,roche du midi
"MULTIPOINT ((6.27215095072117 44.8709386360774))",PAIOROGR0000000075590407,Détail orographique,Pic,pic ouest ou pointe duhamel
"MULTIPOINT ((6.03423949304251 45.1104923852244))",PAIE_NAT0000000007451102,Lieu-dit non habité,Lieu-dit non habité,les rivoires
"MULTIPOINT ((5.7601197249739 44.7277224488357))",PAIE_NAT0000000007453107,Lieu-dit non habité,Lieu-dit non habité,vacheras
"MULTIPOINT ((6.00154997617939 45.3905598249257))",PAIHABIT0000000007540833,Zone d'habitation,Quartier,clos des amaryllis
"MULTIPOINT ((6.00154997617939 45.3905598249257))",PAIHABIT0000000007540833,Zone d'habitation,Quartier,le clos des amarylis
"MULTIPOINT ((5.66458494490967 45.1652432601047))",PAIE_NAT0000000331791287,Lieu-dit non habité,Lieu-dit non habité,la croix des faures
"MULTIPOINT ((6.07344777718882 45.3098117887048))",PAIHABIT0000000202604461,Zone d'habitation,Lieu-dit habité,les roux
"MULTIPOINT ((5.78554412562764 45.348429912616))",PAIHABIT0000000007541879,Zone d'habitation,Lieu-dit habité,maisons forestières de la côte du moulin
"MULTIPOINT ((5.78554412562764 45.348429912616))",PAIHABIT0000000007541879,Zone d'habitation,Lieu-dit habité,la côte du moulin
"MULTIPOINT ((5.90555649441524 44.7729513853746))",PAIE_NAT0000000007452961,Lieu-dit non habité,Lieu-dit non habité,quincet
"MULTIPOINT ((5.75064290092851 45.2117113778196))",PAIHABIT0000000010358623,Zone d'habitation,Château,château de la condamine
"MULTIPOINT ((6.09543004706927 45.3829195643981))",PAIHABIT0000002205525818,Zone d'habitation,Lieu-dit habité,vers le pont de veyton
"MULTIPOINT ((5.5390108132994 45.2791167934938))",PAIHABIT0000000007543667,Zone d'habitation,Lieu-dit habité,le martinet
"MULTIPOINT ((5.48132435527985 45.0490124727937))",PAIOROGR0000000007455710,Détail orographique,Rochers,rochers d'herbouilly
"MULTIPOINT ((6.07115784344447 45.0932031951679))",PAIHABIT0000000206282754,Zone d'habitation,Quartier,grand sablat
"MULTIPOINT ((6.16899081456038 44.8769065784153))",PAIOROGR0000000007456667,Détail orographique,Vallée,le vallonnet
"MULTIPOINT ((5.62840967204364 44.7754035760846))",PAIOROGR0000000007457389,Détail orographique,Vallée,la combe
