WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.7409212999928 45.1780346375555))",SURFACTI0000000007463745,Zone d'activité ou d'intérêt,Poste,poste de grenoble - bajatière
"MULTIPOINT ((5.7355990684702 45.0796937053917))",SURFACTI0000000007463875,Zone d'activité ou d'intérêt,Poste,poste de champs-sur-drac
"MULTIPOINT ((5.64858570344445 45.2781449995235))",SURFACTI0000000007463595,Zone d'activité ou d'intérêt,Gendarmerie,gendarmerie arnaud beltrame
"MULTIPOINT ((5.95220909189282 45.3579220165456))",SURFACTI0000000007463453,Zone d'activité ou d'intérêt,Poste,poste du touvet
"MULTIPOINT ((6.08146997297661 45.087657960296))",SURFACTI0000000101915255,Zone d'activité ou d'intérêt,Golf,club de golf alpe d'huez
"MULTIPOINT ((5.73928327098714 45.1850901650191))",SURFACTI0000000105454897,Zone d'activité ou d'intérêt,Stade,stade des alpes
"MULTIPOINT ((5.6871782251284 45.1807155467572))",SURFACTI0000000239037197,Zone d'activité ou d'intérêt,Gendarmerie,gendarmerie de seyssinet-pariset
"MULTIPOINT ((5.53559095647362 45.189413903792))",SURFACTI0000002202822295,Zone d'activité ou d'intérêt,Parc de loisirs,vercors aventure
"MULTIPOINT ((5.54883166589358 44.8563448591392))",SURFACTI0000000240287980,Zone d'activité ou d'intérêt,Parc de loisirs,la forêt labyrinthe
"MULTIPOINT ((5.68417590728264 45.2147910556623))",SURFACTI0000002206924657,Zone d'activité ou d'intérêt,Parc de loisirs,arizona kids
"MULTIPOINT ((5.90077543194396 44.8923282143321))",SURFACTI0000000316322242,Zone d'activité ou d'intérêt,Parc de loisirs,plan d'eau de valbonnais
"MULTIPOINT ((6.04410327108319 45.1337495303762))",SURFACTI0000000312870793,Zone d'activité ou d'intérêt,Parc de loisirs,base nautique d'allemond
"MULTIPOINT ((5.69824035748962 45.1363513892732))",SURFACTI0000000007461976,Zone d'activité ou d'intérêt,Enseignement primaire,groupe scolaire saint-éxupery
"MULTIPOINT ((6.12964232772183 44.8892951627268))",SURFACTI0000002206925650,Zone d'activité ou d'intérêt,Point de vue,belvédère de basse pisse
"MULTIPOINT ((5.75995631736399 45.0648949919652))",SURFACTI0000000039535473,Zone d'activité ou d'intérêt,Autre équipement sportif,stade jo-piarulli
"MULTIPOINT ((5.69194409156033 45.1628098864273))",SURFACTI0000000113476874,Zone d'activité ou d'intérêt,Autre équipement sportif,complexe vélodrome albert fontaine
"MULTIPOINT ((5.67415265328333 45.1111481548653))",SURFACTI0000002202321481,Zone d'activité ou d'intérêt,Stade,gymnase léo lagrange
"MULTIPOINT ((5.97518284527679 45.3393930234157))",SURFACTI0000000007463474,Zone d'activité ou d'intérêt,Gendarmerie,gendarmerie de goncelin
"MULTIPOINT ((5.69816392029667 45.1400146292281))",SURFACTI0000000220175698,Zone d'activité ou d'intérêt,Gendarmerie,gendarmerie du pont-de-claix
