WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.70253410235828 45.1374375517425))",EQ_RESEA0000002204779445,Equipement de transport,Parking,etoile
"MULTIPOINT ((5.41866980966446 45.1254975778644))",EQ_RESEA0000000229947394,Equipement de transport,Parking,parking de clot michelet
"MULTIPOINT ((5.5082882804562 45.1077309923268))",EQ_RESEA0000002205496201,Equipement de transport,Parking,champ des narces
"MULTIPOINT ((5.63760714163076 45.2956088632504))",EQ_RESEA0000000130194197,Equipement de transport,Parking,parking sérand
"MULTIPOINT ((5.67882963388433 45.2954858419679))",EQ_RESEA0000000007459178,Equipement de transport,Carrefour,les quatre chemins
"MULTIPOINT ((5.62419082347031 45.2780576184582))",EQ_RESEA0000000007459196,Equipement de transport,Aire de repos ou de service,aire de service de voreppe
"MULTIPOINT ((5.63644378513696 45.2979994591968))",EQ_RESEA0000000230201278,Equipement de transport,Carrefour,rond-point de la paix
"MULTIPOINT ((5.63530717955822 45.2917557124327))",EQ_RESEA0000000130194322,Equipement de transport,Parking,parking nardan
"MULTIPOINT ((5.88715928919103 45.3078840526716))",EQ_RESEA0000000007459155,Equipement de transport,Gare voyageurs uniquement,gare de saint-hilaire
"MULTIPOINT ((5.89820211925155 45.2999143485774))",EQ_RESEA0000000007459153,Equipement de transport,Gare voyageurs uniquement,gare de montfort
"MULTIPOINT ((5.63441858659431 45.2972039024419))",EQ_RESEA0000002205879921,Equipement de transport,Parking,saint-jean
"MULTIPOINT ((6.08010319928596 45.3692330532085))",EQ_RESEA0000000007459050,Equipement de transport,Carrefour,carrefour du jeu de paume
"MULTIPOINT ((5.91883188815724 45.3548046101058))",EQ_RESEA0000000329053415,Equipement de transport,Parking,place du habert saint-michel
"MULTIPOINT ((5.81711583612542 45.3415389853876))",EQ_RESEA0000000205999621,Equipement de transport,Parking,parking du bourg
"MULTIPOINT ((5.77093351054747 45.1922829429172))",EQ_RESEA0000000007459275,Equipement de transport,Station de tramway,bibliothèques universitaires
"MULTIPOINT ((5.70846717483515 45.1366503462837))",EQ_RESEA0000002206404735,Equipement de transport,Station de tramway,edmée chandon
