WKT,ID,HAUTEUR
"MULTIPOINT ((5.60103719609439 45.2634546335427))",PYLONE__0000000024802859,0
"MULTIPOINT ((5.72096810533031 45.1071916778985))",PYLONE__0000000024797026,0
"MULTIPOINT ((5.61006067367104 45.2519611306947))",PYLONE__0000000024797030,0
"MULTIPOINT ((5.59735617108228 45.2590077116394))",PYLONE__0000000024797182,54.4
"MULTIPOINT ((6.06607266723306 45.2922288468731))",PYLONE__0000000024797187,21
"MULTIPOINT ((5.85734159257829 44.8339057947055))",PYLONE__0000000024797252,0
"MULTIPOINT ((6.07072145414123 45.0471388637311))",PYLONE__0000000024797326,0
"MULTIPOINT ((5.98065735742777 45.1204521324932))",PYLONE__0000000024797328,0
"MULTIPOINT ((5.75036029814565 45.0713218123903))",PYLONE__0000000024797485,0
"MULTIPOINT ((5.62726527853889 45.0606454784518))",PYLONE__0000000024797604,31.4
"MULTIPOINT ((5.71402387358896 45.1096727755185))",PYLONE__0000000024797611,25.7
"MULTIPOINT ((5.67503586251815 45.1037097136309))",PYLONE__0000000024797622,47.2
"MULTIPOINT ((5.79599145254966 45.0216794711346))",PYLONE__0000000024797647,0
"MULTIPOINT ((5.56721396418853 45.2761979646839))",PYLONE__0000000024797709,0
"MULTIPOINT ((5.69068104684094 45.0685432569737))",PYLONE__0000000024797688,34.6
"MULTIPOINT ((5.80263927524517 44.9971471174904))",PYLONE__0000000024797782,0
"MULTIPOINT ((5.75351459739369 45.1535491623726))",PYLONE__0000000024797783,0
"MULTIPOINT ((5.79757996182493 44.9430464489852))",PYLONE__0000000024797795,0
"MULTIPOINT ((6.01283492237322 45.2788854633443))",PYLONE__0000000024797797,0
"MULTIPOINT ((6.02279529925339 45.0800835931677))",PYLONE__0000000024797818,22.2
"MULTIPOINT ((5.82499194639272 45.1751299172505))",PYLONE__0000000024797820,28.4
"MULTIPOINT ((5.63195585738435 45.2084121703995))",PYLONE__0000000024797825,39.1
"MULTIPOINT ((5.72820027799663 45.0958171531462))",PYLONE__0000000024797835,62.4
"MULTIPOINT ((5.69149680142268 45.0429854099395))",PYLONE__0000000024797934,0
"MULTIPOINT ((5.72532676893648 45.1043733712192))",PYLONE__0000000024797997,0
"MULTIPOINT ((5.76635833274554 45.2016944487266))",PYLONE__0000000024797989,26.8
"MULTIPOINT ((5.94699411868182 45.1126638899712))",PYLONE__0000000024798204,0
"MULTIPOINT ((6.0856650248536 45.0307893254713))",PYLONE__0000000024798301,0
