WKT,ID,NATURE,TOPONYME
"MULTILINESTRING ((5.89151530994542 45.3058234729906,5.89056062323887 45.3064464421179))",CONSLINE0000002150244713,Tunnel,
"MULTILINESTRING ((5.75789484739796 45.3544736723345,5.75771462090085 45.3545501918373,5.75746429487211 45.3545788829125,5.75744519421504 45.3545802543834,5.75718496920456 45.3546154956247,5.75710021162762 45.3546329000137))",CONSLINE0000000007527209,Pont,Pont de Saint-Bruno
"MULTILINESTRING ((5.79984930098471 45.3440427832456,5.79986300163953 45.3439595474485,5.7998725032636 45.3438944369232,5.79988323567798 45.343828394597))",CONSLINE0000000007527289,Pont,Pont du Grand Logis
"MULTILINESTRING ((5.62165849578978 45.1833053559532,5.62157943113149 45.1833036093955,5.62153485102783 45.1833037555682))",CONSLINE0000000007529382,Pont,le Pont Jallat
"MULTILINESTRING ((6.17286702904564 44.9583030538232,6.17292895657359 44.9582760555339))",CONSLINE0000000007530876,Pont,Pont du Diable
"MULTILINESTRING ((5.78355055006963 45.3472244043494,5.78393650322632 45.3473535607347))",CONSLINE0000000007527291,Pont,Pont de la Tannerie
"MULTILINESTRING ((5.62196464662005 44.8406736832353,5.62201206377113 44.8407401246839,5.62205981714088 44.8408137647926,5.62209210382963 44.8408544398014))",CONSLINE0000000322735009,Pont,Ancien Pont de Chardon
"MULTILINESTRING ((6.20550806090459 44.9317715929727,6.20548086036218 44.9317174107173,6.20547259290436 44.9317059349611,6.20539970958343 44.9316071146665))",CONSLINE0000000007530984,Pont,Pont des Rajas
"MULTILINESTRING ((6.13476808941919 45.4271223950278,6.13492808186029 45.4272134438865,6.13503335049379 45.4272645695142))",CONSLINE0000000007526067,Pont,Pont du Diable
"MULTILINESTRING ((5.75796891368987 45.3533122652834,5.75816925138052 45.3533064284916))",CONSLINE0000000256892756,Pont,Pont Peirant
"MULTILINESTRING ((5.5244509189962 45.0900444169809,5.52449271070659 45.0900686941906,5.52446948506217 45.0901457931635,5.52439596981083 45.0902357425289))",CONSLINE0000002200208291,Pont,
"MULTILINESTRING ((5.80360736740134 45.0556726914807,5.80337682243704 45.0561451908139))",CONSLINE0000000007530555,Pont,
"MULTILINESTRING ((5.54643681711541 45.0733727832454,5.54662900409755 45.0733494718919))",CONSLINE0000000007530459,Pont,
"MULTILINESTRING ((5.7463726893027 45.0980871183112,5.74640784248127 45.0980258888206))",CONSLINE0000000007530121,Pont,
"MULTILINESTRING ((5.74656170148002 45.0978175829314,5.74660084260783 45.0977598588602))",CONSLINE0000000007530120,Pont,
"MULTILINESTRING ((5.73176825967338 45.1609238355114,5.73151483551372 45.1609237338156,5.73151847070271 45.1608939134436))",CONSLINE0000000007529550,Pont,
"MULTILINESTRING ((5.68499460532913 45.0497974059727,5.68477388669907 45.0494883112992,5.68450583054992 45.0491461230739,5.68429212001914 45.0489035257892,5.68404830830949 45.0486427347091,5.68374678896221 45.0483445950997,5.68343077365167 45.048062119539,5.68325705972868 45.0479113499859))",CONSLINE0000002200449115,Pont,Viaduc de la Rivoire
"MULTILINESTRING ((5.68528959840387 45.0497209224475,5.68519040844678 45.049587277413,5.68495761699181 45.0492649606415,5.68466868876879 45.0489115643254,5.68440436621492 45.0486206376721,5.68410805221962 45.0483250762263,5.68379274350062 45.0480308728328,5.68350222923386 45.0477766118809))",CONSLINE0000002200449116,Pont,Viaduc de la Rivoire
"MULTILINESTRING ((5.83644821317585 44.830096941739,5.83648848407118 44.8300670827933))",CONSLINE0000002200392835,Pont,
"MULTILINESTRING ((5.87341044902584 45.2831974653449,5.87344774164775 45.2832523708585,5.8739118906237 45.2837882682381,5.87410361826209 45.284041034915,5.87423995829983 45.2843087406942,5.8744157159328 45.2847961858916,5.87465998927226 45.2853251189248,5.87484750050705 45.2857681109232,5.87488309110395 45.2859383920162,5.8749087459903 45.2861882194668,5.87492612459077 45.2869455412415,5.87490700816544 45.2872677015277,5.87488908596991 45.2874645875322,5.87490129759194 45.2877012452311,5.87492569110033 45.2878276636866,5.87496194572461 45.2878871007173,5.87498463810007 45.2879063399693,5.87500209216594 45.287923010809))",CONSLINE0000000221281575,Mur,Digue du Brocey
"MULTILINESTRING ((5.7997154066563 45.208381666778,5.79987383495705 45.2084146347081))",CONSLINE0000002200392839,Pont,
"MULTILINESTRING ((6.08318275536521 45.1544570226983,6.08307165109232 45.1545898517197))",CONSLINE0000002200449131,Pont,Pont de la Fare
"MULTILINESTRING ((5.89760890736459 45.209671089236,5.89769224588745 45.2097049676097))",CONSLINE0000002200392844,Pont,
"MULTILINESTRING ((5.6837393807662 45.0945597654219,5.68374289743552 45.0946065284395))",CONSLINE0000002200392847,Pont,
