WKT,ID
"MULTILINESTRING ((5.8993950443419 45.0915780298213,5.89896697817416 45.0903629020238,5.89820393476744 45.0885005572838,5.90045026224815 45.0878411338954))",LIGNELEC0000000269643565
"MULTILINESTRING ((5.70670535938412 45.1035180983367,5.70056200677564 45.1020923039324))",LIGNELEC0000002003318394
"MULTILINESTRING ((5.90045026224815 45.0878411338954,5.90090162570735 45.08776451063,5.9003360995481 45.0865475621229,5.89754501712935 45.0856768356429,5.89515067691471 45.084508313451,5.89360266063924 45.0831033265498,5.89153661039479 45.0820081959823,5.88937187706788 45.0810444316198))",LIGNELEC0000002003384357
"MULTILINESTRING ((5.88826407929324 45.0795648896543,5.88937187706788 45.0810444316198))",LIGNELEC0000002003384358
"MULTILINESTRING ((5.8993950443419 45.0915780298213,5.90257776530252 45.0944243347351,5.90444995945262 45.0957414773003,5.90673259103096 45.0969992313645,5.9076725393033 45.0979748287539,5.91176778809043 45.0995672035045))",LIGNELEC0000002003384351
"MULTILINESTRING ((6.03465825154508 45.2090137126262,6.03482759456882 45.2086820152793,6.03631684667272 45.2031142585511,6.03635438794358 45.2028438127197))",LIGNELEC0000000024796802
"MULTILINESTRING ((6.07677679220526 45.0314435724685,6.07830563785081 45.0316544983456))",LIGNELEC0000000024796675
"MULTILINESTRING ((5.77592304520283 45.0547301287737,5.76963912001369 45.0521675566093))",LIGNELEC0000000024796703
"MULTILINESTRING ((6.01836591005666 45.4274563948395,6.02093378532729 45.4279405005676))",LIGNELEC0000000024796806
"MULTILINESTRING ((5.69953744556614 45.0957331733731,5.70009139422053 45.0980378313485,5.70213142248916 45.1004794456893,5.70643437356767 45.1025192430984,5.70854809647522 45.1035057649347))",LIGNELEC0000000024796850
"MULTILINESTRING ((5.62700584579038 45.2931708968224,5.62767551577232 45.2933236386911))",LIGNELEC0000000024796827
"MULTILINESTRING ((5.54335306179497 45.2899892928722,5.53742456984569 45.2939681182516,5.53136705210911 45.2979630471376,5.52536701238986 45.3019211986736,5.51916557610901 45.3060177816993,5.51560057967945 45.3086628631483,5.51145951032624 45.3117063421743,5.50812914836535 45.3141621220551,5.49667363620799 45.3165904006227))",LIGNELEC0000000222413294
"MULTILINESTRING ((5.55298852956024 45.083128731092,5.54565336027561 45.0841487794091,5.54287336004685 45.0845347683248,5.54083548208454 45.0847983657268,5.53712642509135 45.0853089905864,5.52835227626601 45.0866056766351,5.52266713564705 45.0832049829606,5.5167609516393 45.0798495496655,5.51330241653164 45.0778962055301,5.51086607143292 45.0768430967174,5.50697814882684 45.0769874066655,5.50208256885208 45.0771452072221,5.4940924656286 45.0774207569877,5.4888581589242 45.0812249557429,5.48821551916085 45.0806988045367,5.4876150024933 45.0806905938644))",LIGNELEC0000000224178071
"MULTILINESTRING ((6.04671673476894 45.1498308779605,6.04669267216128 45.1500667171353))",LIGNELEC0000000269643559
