WKT,ID,NATURE,TOPONYME
"MULTILINESTRING ((6.12840652841208 45.3928910544262,6.12849067034419 45.3928634719045,6.1290571312148 45.3926791323166,6.12992863109236 45.3923925457999,6.13163145000233 45.3918330913825,6.13372840708581 45.3911418281581,6.13528668480497 45.3906287146842,6.13698689273697 45.3900701502868,6.13827136202615 45.389646667989,6.1389004356224 45.3894397957801,6.1402000462744 45.389013162774,6.14164899547794 45.3885363659457,6.14225301453167 45.3883391886771,6.14420040516284 45.3876987792233,6.14654186316928 45.3869265080349,6.14769558499683 45.3865453372676,6.14808350941107 45.3864172822685))",TRANCABL0000000007469603,Télésiège,Télésiège des Plagnes
"MULTILINESTRING ((6.13271596245908 45.3968718018104,6.13266365946094 45.3973283515542,6.13254282430572 45.3983167013194,6.13246447025022 45.3988785143356,6.13237552276202 45.3994793735076,6.13230997887564 45.4001778049855,6.1320342306198 45.4022086252027,6.13196266765126 45.4027549282948,6.13185089083277 45.4036547102828,6.13173066607026 45.4046998156048,6.13158430307069 45.4056897793188))",TRANCABL0000000007469599,Téléski,Téléski de Pré Rond
"MULTILINESTRING ((6.10843774279725 45.39351456676,6.1090618088215 45.3934900377551,6.11012119050587 45.3934507159278,6.11116897675746 45.3934099038023,6.11217329221789 45.393369388478,6.11329263919122 45.3933274693126,6.11431513229478 45.3932918364044,6.11519577385222 45.3932583369283,6.11548555695323 45.3932484751232))",TRANCABL0000000220880763,Télésiège,Téléski des Tufs
"MULTILINESTRING ((6.13078964458731 45.405549778785,6.1307967164989 45.404630395089,6.13081072125963 45.4037432596355,6.13072811192044 45.402866934669,6.13080940423546 45.4019707097909,6.13079803938771 45.4009283826145,6.13078336300531 45.4003042873824,6.13078820103596 45.3995724085706,6.13076581148547 45.3984024249476))",TRANCABL0000000220882481,Téléski,Téléski des Marmottes
"MULTILINESTRING ((6.12869245096894 45.3933354508817,6.1290532217569 45.3934506347341,6.12986008206103 45.3937651265993,6.13060910106973 45.3940289621561,6.13142093469173 45.3943406008143,6.13265383864856 45.3947702262673,6.13340911758438 45.3950311653496,6.13464143454014 45.3954725013843,6.13558008799851 45.3958093995223,6.13572325467403 45.3958531536185,6.13587948824988 45.3959244778167))",TRANCABL0000000007469602,Télésiège,Télésiège du Grand Collet
"MULTILINESTRING ((6.12772260456008 45.3924424518748,6.12848963147727 45.3920948114849,6.12932289977137 45.3917426114928,6.13026335390063 45.3913180202523,6.13160201219914 45.3907426082242,6.13310452541153 45.390102218347,6.13492490937999 45.389315934279,6.13535458153076 45.3891335875658,6.13544699323525 45.3890940529721))",TRANCABL0000000220880764,Téléski,Téléski du Lac 1
"MULTILINESTRING ((6.12765566774504 45.3923893502135,6.12842269434841 45.3920417102847,6.12925596227094 45.3916895107934,6.13019641601346 45.3912649201183,6.13153507372665 45.3906895088948,6.13303758627555 45.3900491199206,6.13485796945273 45.3892628369468,6.13528764141284 45.3890804904918,6.1353800530767 45.3890409559537))",TRANCABL0000000007469606,Téléski,Téléski du Lac 2
"MULTILINESTRING ((6.11772466434104 45.3956129867492,6.1178006645339 45.3955540986616,6.11810967105417 45.395316604106,6.11873851363275 45.3948295957067,6.11949334335786 45.3942174189185,6.12043969784458 45.3934629256123,6.12102246165915 45.3929988147998,6.12195027646155 45.3922565393511,6.12320967426495 45.391247279448,6.12352614394673 45.391006857242))",TRANCABL0000000007469607,Télésiège,Télésiège du Grand Paul
"MULTILINESTRING ((6.14868695019831 45.3863687781097,6.14823249611785 45.386383355875,6.14732317603887 45.3864278372809,6.1465286688344 45.386467283406,6.14583916735586 45.3865091815053,6.14517862527548 45.3865430527608,6.1445848396581 45.3865588248135))",TRANCABL0000000007469610,Téléski,Téléski du Soleil
"MULTILINESTRING ((6.25042066968642 44.9972186624036,6.25062080757665 44.9973407750112,6.25147821087205 44.9979113660545,6.25264608612792 44.9986882445874,6.25371655790812 44.9994057826489,6.25474517470456 45.0001020075809,6.25591847444555 45.0008832018917,6.25638068672475 45.0011868731338,6.25734367797332 45.0018237198365,6.25868235974981 45.0027171930236,6.26065272492439 45.0040309943145))",TRANCABL0000002009234573,Téléski,Téléski de la Girose
"MULTILINESTRING ((6.07499843446586 45.0507431330324,6.07497893438853 45.0507121341407,6.07456919053056 45.0500566581618,6.07408053667012 45.0492835176349,6.0735553387989 45.0484465073952,6.07323349311895 45.0479327721587,6.07308303018413 45.047692735859,6.07307599249885 45.0476803151591))",TRANCABL0000002202710503,Téléski,Téléski la Forêt
"MULTILINESTRING ((6.07034926298423 45.1002070378529,6.0706493977114 45.1004132248622,6.07126972262478 45.1007736823634,6.07188586405946 45.1011504714368,6.0724542521541 45.1014916296788,6.07294150847854 45.1017917706155,6.07338267348885 45.1020634450746))",TRANCABL0000000007469709,Téléski,Téléski des Grenouilles
