WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.79867084715917 45.212510049232,5.79870239412621 45.2125290803024,5.7987710321903 45.212448974045,5.79873321014977 45.2124319022461,5.79867084715917 45.212510049232)))",CONSSURF0000002203810052,Pont,
"MULTIPOLYGON (((6.0074668396551 45.4333524786131,6.00748894361813 45.4333825233933,6.00765134842697 45.4333799683119,6.00765366093615 45.4333754007052,6.00769337667933 45.4333761373231,6.00778367710595 45.4333656044256,6.00775639674581 45.4331689928436,6.00764797277921 45.4331520775212,6.00746182221508 45.4331651819261,6.00747000371441 45.4333163492433,6.0074668396551 45.4333524786131)))",CONSSURF0000002203819709,Pont,
"MULTIPOLYGON (((6.07689072685136 45.0293094014507,6.07671277339922 45.0293314412723,6.07668893394953 45.0294294154025,6.07693368619889 45.0293974193071,6.07689072685136 45.0293094014507)))",CONSSURF0000000007535711,Dalle,
"MULTIPOLYGON (((6.07784146683621 45.0274890906499,6.07763493640327 45.0275921172636,6.07772681334901 45.027645442577,6.07789692945108 45.0275272036867,6.07784146683621 45.0274890906499)))",CONSSURF0000000007535710,Dalle,
"MULTIPOLYGON (((5.72280414259817 45.075124116084,5.72283593576274 45.0750981129928,5.72284819708963 45.0750626770911,5.7228928637847 45.0749615822702,5.72298762827384 45.0748187210803,5.72268305120923 45.0748829242072,5.72262476153779 45.0747825439791,5.72259458850238 45.0747895879224,5.72223391287448 45.0748767831441,5.7222011997609 45.0748838890508,5.72224722687037 45.0749935784314,5.72200255666495 45.0750608203252,5.72219292482928 45.0751318464719,5.7222674165046 45.0751210168367,5.72231935564544 45.0751954255308,5.722350054836 45.0752253068629,5.72280414259817 45.075124116084)))",CONSSURF0000000007535706,Barrage,
"MULTIPOLYGON (((5.70212806964462 45.1801509798969,5.70265273157323 45.1801472852384,5.70264989190701 45.179983382337,5.70264770460799 45.1799645154978,5.70210501314497 45.1799641419804,5.70211127878224 45.1799883157414,5.70212806964462 45.1801509798969)))",CONSSURF0000000007535699,Pont,
"MULTIPOLYGON (((5.70188818760239 45.1801955280909,5.7018872479923 45.1801234754024,5.70188499243779 45.1800505536303,5.70188461904661 45.1799901994943,5.70188371369766 45.1799451742669,5.70036887264249 45.1799674222862,5.69947166264467 45.1799855236269,5.69863091586966 45.1800121628235,5.69848327478629 45.1800148317758,5.69848286150068 45.1800589879067,5.69848144771316 45.1800824465721,5.69848099092554 45.1801257028139,5.69847898984568 45.1801897180524,5.69847658636464 45.1802717618541,5.69922226592565 45.1802285034139,5.70037948408735 45.1802131227936,5.70188818760239 45.1801955280909)))",CONSSURF0000000007535698,Pont,Pont de Catane
"MULTIPOLYGON (((5.69070857221334 45.1671921089586,5.69138835332844 45.1671856245125,5.69141774107312 45.1671083360782,5.69146052874903 45.1669919841547,5.6908151400852 45.1669985406413,5.69070857221334 45.1671921089586)))",CONSSURF0000000029999217,Pont,
"MULTIPOLYGON (((6.07860635065196 45.0270264123676,6.07909113984188 45.0270157039704,6.07911439311571 45.0268609782895,6.07873949968633 45.0268136817045,6.07860635065196 45.0270264123676)))",CONSSURF0000000007535708,Dalle,
"MULTIPOLYGON (((5.63840575780502 45.2894266973031,5.63842713674373 45.2894469144773,5.6386256729802 45.2893539378828,5.6386066733734 45.2893300608463,5.63855970714983 45.2892816174103,5.63854593512694 45.2892603198329,5.63833477771463 45.2893562968881,5.63836010921173 45.2893791236349,5.63840575780502 45.2894266973031)))",CONSSURF0000000069851872,Pont,
"MULTIPOLYGON (((5.62930497912012 45.294880898146,5.62939598092135 45.294699472213,5.62935879213282 45.2946958418906,5.62928437209814 45.2946876812707,5.62922920522859 45.2946817707696,5.62914457817779 45.2948630466888,5.62925750484755 45.2948757077322,5.62930497912012 45.294880898146)))",CONSSURF0000000069851871,Pont,
"MULTIPOLYGON (((5.77400004500813 45.2028545019153,5.77398692612714 45.2030007859868,5.77397914266155 45.2031262150476,5.7739699276412 45.203222848443,5.77416238069376 45.2032486998549,5.77416659334898 45.2031539926832,5.7741730140458 45.2030267955073,5.77418269193893 45.2028625773793,5.77400004500813 45.2028545019153)))",CONSSURF0000000007535680,Pont,
"MULTIPOLYGON (((5.68923617066318 45.1850121057926,5.68918720824971 45.1850006723282,5.68907265413178 45.1849764040991,5.68900947740582 45.1849608083197,5.68896684694477 45.1850014766683,5.68888773165863 45.1850781605664,5.68895735775421 45.1850954029218,5.68906440703564 45.1851225549,5.68911718707529 45.1851338964436,5.6892538945591 45.1851684421452,5.68933652351555 45.1850853667429,5.68937546630497 45.1850474899194,5.68923617066318 45.1850121057926)))",CONSSURF0000000007535702,Pont,
"MULTIPOLYGON (((5.77840609874847 45.1818468103808,5.77854604187806 45.1819964919638,5.77862001008122 45.1820748370907,5.77876667471156 45.1822315588817,5.77881707789721 45.1822203932274,5.7788838430483 45.1822052162606,5.7790022836718 45.182178841834,5.77900732846173 45.1821778152448,5.77910190703841 45.1821583416907,5.77896265202719 45.1819969309577,5.77888696308371 45.1819096191565,5.77876260147785 45.1817658568546,5.77870592633817 45.1817789805967,5.77862652734646 45.1817962739571,5.77848795307831 45.1818276541062,5.77840609874847 45.1818468103808)))",CONSSURF0000000007535695,Pont,
