WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.7409542126713 45.1780563531527,5.74095200353148 45.1780113595163,5.7408883873399 45.1780129219487,5.74089059642853 45.1780579155864,5.7409542126713 45.1780563531527)))",SURFACTI0000000007463745,Poste,Poste de Grenoble-Bajatière
"MULTIPOLYGON (((5.73563192122861 45.0797154220428,5.7356297202524 45.0796704293681,5.7355662157373 45.079671988731,5.7355684166625 45.0797169814069,5.73563192122861 45.0797154220428)))",SURFACTI0000000007463875,Poste,Poste de Champs-sur-Drac
"MULTIPOLYGON (((5.64861863923588 45.2781667427871,5.64861650065429 45.2781217464006,5.6485527676787 45.2781232562503,5.64855490620891 45.2781682526379,5.64861863923588 45.2781667427871)))",SURFACTI0000000007463595,Gendarmerie,Gendarmerie Arnaud Beltrame
"MULTIPOLYGON (((5.95224219322888 45.3579436705562,5.95223980618417 45.357898679644,5.95217599058251 45.3579003625252,5.95217837757572 45.3579453534387,5.95224219322888 45.3579436705562)))",SURFACTI0000000007463453,Poste,Poste du Touvet
"MULTIPOLYGON (((6.08049889953592 45.0865746828857,6.08023388247071 45.0866820304375,6.07975941115334 45.0870510745887,6.07933833675647 45.0875583082188,6.07941771786337 45.0876831665024,6.07950120118085 45.0877439346161,6.07977362789138 45.0877940732872,6.07992915891863 45.0878465418562,6.08002493495289 45.0879457162575,6.08032507567688 45.088014010153,6.08071712778171 45.0881112996287,6.08086724060076 45.0882269924712,6.08101238045137 45.0884140081049,6.08113321401334 45.0885061811248,6.08134162647717 45.0885256474909,6.08187303782966 45.0885433877932,6.08202683695633 45.0885643635909,6.08218813797392 45.0885599013401,6.08239307868707 45.0885163860423,6.08287385559085 45.0884463152917,6.08325141768953 45.0884421746842,6.08347877321199 45.0885052658822,6.08379503709305 45.0886812343613,6.08412791982101 45.0886972502531,6.08420689308637 45.0886761413252,6.08453748239697 45.0883047536996,6.08446225852744 45.0882554745893,6.0842228358195 45.0881350501466,6.08415233385627 45.0880099491574,6.0839251354511 45.0877882644532,6.08102685954697 45.0865763026631,6.08075293422907 45.0866604697281,6.08049889953592 45.0865746828857)))",SURFACTI0000000101915255,Golf,Club de Golf Alpe d'Huez
"MULTIPOLYGON (((5.73832034589006 45.187674768133,5.73913150430666 45.1880035363922,5.74048608096347 45.1885270800926,5.74064357837869 45.1885430342479,5.74079075390205 45.1885304109149,5.74087460158379 45.1884995213206,5.74107979253652 45.1883710510738,5.74145788813357 45.1880275092389,5.74172035440664 45.1876904101707,5.7419803230162 45.1872506623307,5.7423345733724 45.1866554342116,5.7427395396624 45.1858220060936,5.74078009583915 45.1845511343235,5.73759186016065 45.1832905564216,5.73586229439113 45.1826248139539,5.73542767868367 45.1831147757685,5.73573335575919 45.183217200299,5.73581498839422 45.1832971864077,5.73582438261303 45.183488859963,5.73586869754709 45.1840031211191,5.73585455903191 45.1843124959759,5.73582918663436 45.1844446576479,5.73787335174719 45.1856270432732,5.73799245497368 45.1859772972958,5.73800682088191 45.1860364081409,5.7380162961612 45.1861776261678,5.73801200827027 45.1862200763965,5.73800859560957 45.1862543965298,5.737987110489 45.1863098820322,5.73780458299395 45.1865107682714,5.7373492769984 45.1871246764538,5.73832034589006 45.187674768133)))",SURFACTI0000000105454897,Stade,Stade des Alpes
"MULTIPOLYGON (((5.68721111848098 45.1807372782059,5.68720895253587 45.1806922834892,5.68714533180142 45.1806938152989,5.68714749769533 45.1807388100169,5.68721111848098 45.1807372782059)))",SURFACTI0000000239037197,Gendarmerie,Gendarmerie de Seyssinet-Pariset
"MULTIPOLYGON (((5.85453397600513 45.4150500590962,5.85453166555764 45.415005065713,5.85446778151874 45.4150066929364,5.85447009191461 45.415051686321,5.85453397600513 45.4150500590962)))",SURFACTI0000002206919138,Monument,
"MULTIPOLYGON (((5.53645133761733 45.1899686697513,5.53657610457021 45.1894901688715,5.53615988677512 45.1893023327714,5.53542906984919 45.1889198436771,5.5348025417977 45.1889259644848,5.53482756173026 45.1900379851234,5.53645133761733 45.1899686697513)))",SURFACTI0000002202822295,Parc de loisirs,Vercors Aventure
"MULTIPOLYGON (((5.54886431570766 44.8563666293797,5.54886227309785 44.856321636044,5.54879901610481 44.8563230888892,5.548801058664 44.8563680822261,5.54886431570766 44.8563666293797)))",SURFACTI0000000240287980,Parc de loisirs,la Forêt Labyrinthe
