WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.70256697620951 45.1374592784485,5.70256479957892 45.1374142844826,5.70250122853262 45.137415825027,5.70250340511209 45.1374608189941,5.70256697620951 45.1374592784485)))",EQ_RESEA0000002204779445,Parking,Etoile
"MULTIPOLYGON (((5.85420756259015 45.0395391599802,5.85423981116468 45.039573471102,5.85430675288889 45.0395654479459,5.85425577292199 45.0395126966731,5.85420756259015 45.0395391599802)))",EQ_RESEA0000002205405435,Parking,
"MULTIPOLYGON (((5.41870256595104 45.1255193880113,5.41870061828348 45.1254743889272,5.41863705340344 45.125475767708,5.41863900101988 45.1255207667932,5.41870256595104 45.1255193880113)))",EQ_RESEA0000000229947394,Parking,Parking de Clot Michelet
"MULTIPOLYGON (((5.69857591886388 45.1238518596323,5.69888195388977 45.1239435543174,5.69901871100893 45.1237186150685,5.69903372480327 45.1236605921029,5.6987721363996 45.1235669210943,5.69872590960494 45.1236374116243,5.69841742120555 45.1235475778015,5.69835030194964 45.1236861435336,5.69856943282539 45.1237439050475,5.69861838696292 45.1237562341121,5.69857591886388 45.1238518596323)))",EQ_RESEA0000002205495997,Parking,
"MULTIPOLYGON (((5.67319055714814 45.1351113718718,5.67318840425849 45.1350663773612,5.67312483507747 45.1350679011654,5.673126987916 45.1351128956773,5.67319055714814 45.1351113718718)))",EQ_RESEA0000002205496047,Parking,
"MULTIPOLYGON (((5.61700154243727 45.181331738417,5.616999433039 45.1812867423501,5.61693580972663 45.1812882341523,5.61693791907369 45.1813332302205,5.61700154243727 45.181331738417)))",EQ_RESEA0000002205516751,Parking,
"MULTIPOLYGON (((5.61932635338702 45.1785897847266,5.61927926085628 45.1784548524257,5.61920489933095 45.1783088482458,5.61910678490544 45.1781724105704,5.61902405461026 45.1780923691741,5.6189622257453 45.1780505763956,5.61927618289503 45.1787693425544,5.61931113473587 45.178754107684,5.61931314206396 45.1786882940775,5.61935432919929 45.1786702101202,5.61932635338702 45.1785897847266)))",EQ_RESEA0000002205516769,Parking,
"MULTIPOLYGON (((5.50832106126914 45.1077527760466,5.50831904210161 45.107707778752,5.5082554996688 45.1077092085974,5.50825751878525 45.1077542058932,5.50832106126914 45.1077527760466)))",EQ_RESEA0000002205496201,Parking,Champ des Narces
"MULTIPOLYGON (((5.63764008345935 45.2956306098206,5.63763795307154 45.295585613072,5.63757419982787 45.2955871166707,5.63757633016426 45.2956321134205,5.63764008345935 45.2956306098206)))",EQ_RESEA0000000130194197,Parking,Parking Sérand
"MULTIPOLYGON (((5.67886259172086 45.2955075763968,5.67886042805561 45.2954625804404,5.67879667607351 45.2954641075294,5.67879883968735 45.2955091034871,5.67886259172086 45.2955075763968)))",EQ_RESEA0000000007459178,Carrefour,les Quatre Chemins
"MULTIPOLYGON (((5.62429232070684 45.276834023271,5.62393357833143 45.2772911074185,5.62338534346656 45.2785751872577,5.62318643138276 45.2790123015412,5.62312288140732 45.2792074928321,5.62322607047491 45.2793393105738,5.62349197085917 45.2793492882728,5.62398606009186 45.2792187703126,5.62426183518246 45.2790861671734,5.62446414950107 45.2789111421031,5.62461011888708 45.2787590617437,5.62469294359374 45.2786481046006,5.62475809812924 45.2784871100402,5.62480719013645 45.2783373037281,5.62482990130642 45.2781421692247,5.62473258156186 45.2779453480689,5.62454778962653 45.2776523787555,5.6243808871848 45.2773598901959,5.62433179193638 45.2771844600487,5.62429232070684 45.276834023271)))",EQ_RESEA0000000007459196,Aire de repos ou de service,Aire de Service de Voreppe
"MULTIPOLYGON (((5.63647672792469 45.2980212061195,5.63647459838481 45.2979762093282,5.63641084237494 45.2979777122646,5.6364129718634 45.2980227090571,5.63647672792469 45.2980212061195)))",EQ_RESEA0000000230201278,Carrefour,Rond-Point de la Paix
"MULTIPOLYGON (((5.63534011821203 45.2917774596639,5.63533798982833 45.2917324629049,5.63527424093011 45.2917339651918,5.6352763692624 45.2917789619521,5.63534011821203 45.2917774596639)))",EQ_RESEA0000000130194322,Parking,Parking Nardan
"MULTIPOLYGON (((5.46475296755228 45.2061524242696,5.46475097994739 45.206107425162,5.46468732439384 45.2061088302118,5.46468931194746 45.2061538293205,5.46475296755228 45.2061524242696)))",EQ_RESEA0000002205707241,Parking,
"MULTIPOLYGON (((5.73367746447378 45.0801580063614,5.73387051119001 45.0805172465552,5.73418171481385 45.080432129086,5.73400916397284 45.0800759901514,5.73367746447378 45.0801580063614)))",EQ_RESEA0000002200045825,Parking,
"MULTIPOLYGON (((5.46559559926408 45.2065626310223,5.4655936109653 45.2065176319257,5.46552995496516 45.2065190374558,5.46553194321268 45.2065640365535,5.46559559926408 45.2065626310223)))",EQ_RESEA0000002205773359,Parking,
"MULTIPOLYGON (((5.88738323126055 45.3079143136428,5.88737363634794 45.3078523894511,5.88736643626603 45.3078120284396,5.8872088707976 45.3078269082612,5.88720571396968 45.3078152762067,5.88717647758011 45.3078178329593,5.8869337998667 45.3078412166126,5.88694564900926 45.3079220045187,5.88702693569073 45.3079135991542,5.88703258046286 45.3079485940772,5.88708845633055 45.3079426466324,5.88738323126055 45.3079143136428)))",EQ_RESEA0000000007459155,Gare voyageurs uniquement,Gare de Saint-Hilaire
"MULTIPOLYGON (((5.89818755723321 45.299774162951,5.89804374544557 45.3000283801648,5.89800679471182 45.3000788951417,5.89806100099032 45.3000901051082,5.89811256060608 45.300001367655,5.89822909138119 45.3000325875222,5.89834601171621 45.2998259213113,5.89818755723321 45.299774162951)))",EQ_RESEA0000000007459153,Gare voyageurs uniquement,Gare de Montfort
