WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((6.11041147787798 45.4212540683903,6.11040896014619 45.421209080473,6.1103450768029 45.4212108534901,6.11034759448308 45.4212558414088,6.11041147787798 45.4212540683903)))",PAIHABIT0000000007540166,Lieu-dit habité,les Cavagnates
"MULTIPOLYGON (((6.05841403504974 45.4004055546307,6.05841156031405 45.4003605657033,6.05834769926993 45.4003623090894,6.05835017395405 45.4004072980182,6.05841403504974 45.4004055546307)))",PAIHABIT0000000007540496,Lieu-dit habité,le Crozet
"MULTIPOLYGON (((5.97983842245995 45.4098174180932,5.97983601086562 45.4097724273858,5.97977213658342 45.4097741260051,5.97977454812616 45.4098191167139,5.97983842245995 45.4098174180932)))",PAIHABIT0000000007540511,Lieu-dit habité,la Ville
"MULTIPOLYGON (((6.05875119040613 45.3907930158534,6.05874871582538 45.3907480270034,6.05868486582522 45.3907497705789,6.05868734035442 45.3907947594302,6.05875119040613 45.3907930158534)))",PAIHABIT0000000007540812,Lieu-dit habité,le Repos
"MULTIPOLYGON (((6.05134883960647 45.3694436381439,6.05134637195826 45.3693986492907,6.05128254621801 45.3694003886425,6.0512850138147 45.3694453774971,6.05134883960647 45.3694436381439)))",PAIHABIT0000000007541152,Lieu-dit habité,Rapin
"MULTIPOLYGON (((6.01549404915193 45.3778554336517,6.01549161011696 45.3778104439495,6.01542777361503 45.3778121628753,6.01543021259847 45.3778571525789,6.01549404915193 45.3778554336517)))",PAIHABIT0000000007541175,Lieu-dit habité,le Vernay
"MULTIPOLYGON (((5.99730369559133 45.375437723712,5.99730127136757 45.3753927336333,5.99723743707875 45.3753944421942,5.99723986125098 45.3754394322743,5.99730369559133 45.375437723712)))",PAIHABIT0000000007541183,Lieu-dit habité,les Merciers
"MULTIPOLYGON (((5.95444511719307 45.3750006587245,5.95444272763586 45.3749556677284,5.954378892542 45.3749573518696,5.95438128204768 45.3750023428671,5.95444511719307 45.3750006587245)))",PAIHABIT0000000007541210,Quartier,la Fumas
"MULTIPOLYGON (((6.07713187946985 45.2913176874872,6.07712939446937 45.2912726998417,6.07706565900253 45.2912744538584,6.07706814395165 45.2913194415054,6.07713187946985 45.2913176874872)))",PAIHABIT0000000007542836,Lieu-dit habité,l'Épinay
"MULTIPOLYGON (((5.62990851499361 45.2923882304267,5.63031809174836 45.2919794827453,5.63099625801132 45.291339180465,5.63148775611249 45.2908546239729,5.63166403901232 45.2906955144414,5.63231310506386 45.2900342659552,5.63278961962524 45.2895032073116,5.63314832643249 45.2890722218214,5.63327827670873 45.2889051911969,5.63157961765509 45.2884217355027,5.6280410948138 45.2881121464042,5.62634170796073 45.2885052390274,5.6252677930432 45.2890899367093,5.62506997968962 45.2889819638465,5.62491283729191 45.288870333155,5.62464925416004 45.2886395745871,5.62454994766074 45.2885635241967,5.62444413648539 45.2885119515972,5.62440227964535 45.2884904106222,5.62437528480716 45.2885676235294,5.62437378815819 45.2886442380115,5.62436973514025 45.2887749685086,5.62438030617868 45.2888639128473,5.62441102163992 45.2889469788106,5.62425281102683 45.2888939329811,5.62419603977362 45.2888538223269,5.62415873480891 45.2887934342911,5.62417562091447 45.2890164695511,5.62419128803023 45.289132322324,5.62423566179533 45.2894240844274,5.62426420233059 45.2895693659099,5.62439075347303 45.2899799245883,5.62452742770233 45.290334387707,5.62450399624987 45.2904601674588,5.62455727410532 45.2905886515369,5.62484330649835 45.2911873657704,5.62510406317863 45.2917371214262,5.62546119388325 45.2924900271948,5.62554498305524 45.2926970768841,5.62558441536006 45.2927754333494,5.62578880449723 45.2931580364714,5.62587953000923 45.2932955511291,5.62594378243885 45.2933859377928,5.62622438109247 45.2937604442215,5.62656631260604 45.2941362123921,5.62694046839692 45.2944643740683,5.62745762368237 45.2944954699715,5.62838015648383 45.2945692911259,5.62861051406832 45.2945818956275,5.62882025868347 45.2945904795153,5.62914603357747 45.294569307179,5.62912814142171 45.2945417987811,5.62911926050123 45.2944888523144,5.62912657293353 45.2944274167273,5.62916776030093 45.2943264444905,5.62964919526898 45.2934655419191,5.62978201623503 45.2931966423781,5.62988534080858 45.2929248325785,5.62996137677605 45.2927779936666,5.63003061146485 45.2926763614744,5.63018565415974 45.2925267633436,5.62990851499361 45.2923882304267)))",PAIHABIT0000000007543280,Quartier,Brandegaudière
"MULTIPOLYGON (((5.98220481235804 45.2703508910714,5.98220240488646 45.2703059015347,5.98213869044668 45.27030760146,5.98214109786692 45.2703525909981,5.98220481235804 45.2703508910714)))",PAIHABIT0000000007543528,Lieu-dit habité,Villard Château
