c2c;BDTOPO
938595;PAIOROGR0000000006684974
745340;PAIOROGR0000000075590726
665428;PAIOROGR0000000012527680
325254;PAIOROGR0000000006686490
324995;PAIOROGR0000000006685000
280466;PAIOROGR0000000007454281
214492;PAIOROGR0000000075592271
201137;PAIOROGR0000000007456919
199542;PAIOROGR0000000007456485
190359;PAIOROGR0000000006685242
180822;PAIOROGR0000000012527567
179876;PAIOROGR0000000075590854
172976;PAIOROGR0000000007454678
162927;PAIOROGR0000000007455267
158601;PAIOROGR0000000007456799
152033;PAIOROGR0000000075592107
150459;PAIOROGR0000000012527427
144819;PAIOROGR0000000007457463
144638;PAIOROGR0000000007454745
130459;PAIOROGR0000000012528392
128818;PAIOROGR0000000007455859
108011;PAIOROGR0000000012527154
104564;PAIOROGR0000000007454656
104295;PAIOROGR0000000007454337
104291;PAIOROGR0000000075589585
104289;PAIOROGR0000000012527671
104286;PAIOROGR0000000012528538
104281;PAIOROGR0000000007454598
104277;PAIOROGR0000000012528535
104274;PAIOROGR0000000007455298
104272;PAIOROGR0000000007454393
104271;PAIOROGR0000000007454077
892530;PAIOROGR0000000075592512
892528;PAIOROGR0000000075592718
881218;PAIOROGR0000000075589693
874202;PAIOROGR0000000075591045
866447;PAIOROGR0000000007454903
865421;PAIOROGR0000000007455156
44405;PAIOROGR0000000007454364
856860;PAIOROGR0000000075589699
839559;PAIOROGR0000000007454455
838570;PAIOROGR0000000075591294
836782;PAIOROGR0000000075590082
833917;PAIOROGR0000000007455276
813906;PAIOROGR0000000075592388
813905;PAIOROGR0000000075592374
715252;PAIOROGR0000000012527288
711041;PAIOROGR0000000012527286
711038;PAIOROGR0000000012527314
530403;PAIOROGR0000000006686271
711034;PAIOROGR0000000007454130
711033;PAIOROGR0000000007454131
711032;PAIOROGR0000000012528475
711030;PAIOROGR0000000007454526
556664;PAIOROGR0000000075590092
552293;PAIOROGR0000000075590563
550280;PAIOROGR0000000007455953
550260;PAIOROGR0000000007456172
550135;PAIOROGR0000000075589935
550132;PAIOROGR0000002003931385
550131;PAIOROGR0000000007455806
550105;PAIOROGR0000000007456014
329405;PAIOROGR0000000012528447
323781;PAIOROGR0000000007454811
316418;PAIOROGR0000000012527676
304900;PAIOROGR0000000075589526
302455;PAIOROGR0000000075590404
301071;PAIOROGR0000000007456539
300903;PAIOROGR0000000007455219
207394;PAIOROGR0000000075591046
206257;PAIOROGR0000000007454080
206166;PAIOROGR0000000007454082
205832;PAIOROGR0000000007454173
205830;PAIOROGR0000000007454227
205828;PAIOROGR0000000007454228
205827;PAIOROGR0000000007454230
205825;PAIOROGR0000000007454340
204065;PAIOROGR0000000075592137
200891;PAIOROGR0000000007456430
200855;PAIOROGR0000000356600227
199727;PAIOROGR0000000007457133
146669;PAIOROGR0000000007454888
143463;PAIOROGR0000000075590209
141090;PAIOROGR0000000007456186
140520;PAIOROGR0000000075591295
135045;PAIOROGR0000000075590597
129053;PAIOROGR0000000075591690
129051;PAIOROGR0000000007457487
129049;PAIOROGR0000000007457488
129048;PAIOROGR0000000006686199
128722;PAIOROGR0000000075590776
128103;PAIOROGR0000000006684927
127400;PAIOROGR0000000075592185
125401;PAIOROGR0000000007457199
125398;PAIOROGR0000000007457360
123034;PAIOROGR0000000075591408
44919;PAIOROGR0000000007454519
44878;PAIOROGR0000000012528591
44857;PAIOROGR0000000007454632
44788;PAIOROGR0000000007454758
44751;PAIOROGR0000000007454515
44712;PAIOROGR0000000012527362
44654;PAIOROGR0000000007454872
44565;PAIOROGR0000000012527358
44562;PAIOROGR0000000007454574
42857;PAIOROGR0000000007454589
42739;PAIOROGR0000000012527332
102217;PAIOROGR0000000007454337
37892;PAIOROGR0000000007455910
44032;PAIOROGR0000000012527210
890949;PAIOROGR0000000006685053
41146;PAIOROGR0000000007455474
992343;PAIOROGR0000000007454600
813904;PAIOROGR0000000075592622
38049;PAIOROGR0000000012528579
313940;PAIOROGR0000000075592831
313114;PAIOROGR0000000007455624
41787;PAIOROGR0000000075592364
41785;PAIOROGR0000000007455997
41779;PAIOROGR0000000007456908
41776;PAIOROGR0000000007454200
41750;PAIOROGR0000000075591301
41736;PAIOROGR0000000006685738
